shop_type,sentence,TargetAspect,sentiment
coffee,"Coffee is really great  hot_beverage  Perfect place for meetings, study sessions, date and for coffee",Facilities and Amenities,POSITIVE
coffee,Maybe after tables are freshly cleaned and the patio is tidied up there will be the 5 star atmosphere that is seen in the pictures.,Facilities and Amenities,POSITIVE
coffee,Nice place to study kay peaceful ang second floor,Facilities and Amenities,POSITIVE
coffee," cupcake Vanilla Flan Tart, Kalifa Cake  hot_beverage Crossroad latte, Spring Blossom, Roasted Indigo  star genuinely kind staff  star clean and beautifully maintained space  star Impressively fast service  star love the food and drinks overall",Facilities and Amenities,POSITIVE
coffee,Cold aircon and great design in architecture and interior.,Facilities and Amenities,POSITIVE
coffee,The comfort room is the best Like  hundred_points  und echt Sauber,Facilities and Amenities,POSITIVE
coffee,"The ambiance is clean, aesthetic, and cozy, making it a great place to study or just relax.",Facilities and Amenities,POSITIVE
coffee,Very nice and good place with aircon  pink_heart,Facilities and Amenities,POSITIVE
coffee,Simple and cozy place to dine in and work,Facilities and Amenities,POSITIVE
coffee,Good place to study and bond with friends,Facilities and Amenities,POSITIVE
coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Facilities and Amenities,POSITIVE
coffee,"The ambiance is warm and comfortable, creating a peaceful space where you can truly enjoy your time.",Facilities and Amenities,POSITIVE
coffee,Place is comfortable and big space abd the vibes is very serenity.,Facilities and Amenities,POSITIVE
matcha,+ clean and esthetic restroom,Facilities and Amenities,POSITIVE
matcha,very unique drink combos that just Work wonderfully.,Facilities and Amenities,POSITIVE
coffee,"I'm particularly drawn to the interior—its mid-century aesthetic is thoughtfully executed and well-maintained, creating a space that feels both stylish and inviting.",Facilities and Amenities,POSITIVE
coffee,Kaos Cafe is my new favorite spot because it perfectly balances a productive work vibe with the best atmosphere for a barkada hangout.,Facilities and Amenities,POSITIVE
coffee,The place there is so cozy and perfect to study and very instragrammable.,Facilities and Amenities,POSITIVE
coffee,"This shop is more coffee centric, small space, intimate and modern atmosphere with friendly unassuming baristas who let their coffee nad the quality of the experience they offer speak for itself.",Facilities and Amenities,POSITIVE
coffee,Their CR got fresh calachuchi petals that added to the freshness and cleanliness of their CR.,Facilities and Amenities,POSITIVE
coffee,"A cozy haven, with a unique embrace, Crafted cups served, within this warm space.",Facilities and Amenities,POSITIVE
coffee,Such a unique ambiance as well perfect if you're looking for a working space.,Facilities and Amenities,POSITIVE
coffee,"Behind it is a staircase leading to a beautifully designed space with warm lighting, minimalist décor, and a charming speakeasy vibe.",Facilities and Amenities,POSITIVE
coffee,Ambiance had a cozy feels to it with a decent amount of tables and chairs.,Facilities and Amenities,POSITIVE
coffee,The upholstery of chairs a classy and classic in appearance.,Facilities and Amenities,POSITIVE
coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Facilities and Amenities,POSITIVE
coffee,Starbucks has a way of creating a space that feels both professional and personal.,Facilities and Amenities,POSITIVE
coffee,"Good for coffee, place to work and to study",Facilities and Amenities,POSITIVE
matcha,Cozy space and strong ac!,Facilities and Amenities,POSITIVE
coffee,It has a wide space and the internet connection is quite good,Facilities and Amenities,POSITIVE
coffee,Affordable coffee and a freshly brewed coffee beans round the clock plus a comfortable place to kill time.,Price and Value,POSITIVE
coffee,label  The price point is also great value for such good coffee.,Price and Value,POSITIVE
coffee,affordable 24 hrs coffee shop,Price and Value,POSITIVE
coffee,5/5 price 5/5 taste of matcha  heart_hands_light_skin_tone  …,Price and Value,POSITIVE
coffee,Still the coziest and affordable cafe nearest to Crossfit Cranium,Price and Value,POSITIVE
coffee,"Overall, great value for money and recommended!""",Price and Value,POSITIVE
coffee,food is delicious and affordable also the coffee,Price and Value,POSITIVE
coffee,love the affordable coffee price and quality,Price and Value,POSITIVE
coffee,Price experience score (pes) 7/10 Take out place service ok Coffee good Shop nice Price good,Price and Value,POSITIVE
coffee,"11/10 overall a must try coffee shop jud , recommended foods and drinks super ka budget friendly plus the quality thumbs up jud red_heart",Price and Value,POSITIVE
coffee,Good vibes everywhere: from the staff to the food to the place itself.,Product Quality,POSITIVE
coffee,Great coffee specially the LecheFlan Cheese Cake the best!,Product Quality,POSITIVE
coffee,affordable and the coffee looks good,Product Quality,POSITIVE
coffee,NICE PLACE MY FAVORITE PLACE heart_suit  GOOD FOOD THE CREW ARE FRIENDLY,Product Quality,POSITIVE
coffee,"One of the best coffee shops in town and definitely my go-to bean roaster for freshly roasted, premium-quality coffee.",Product Quality,POSITIVE
coffee,A must visit place for coffee lovers  blue_heart  Unlike other coffee shops in Calinan were latte & capucinno tasted the same.,Product Quality,POSITIVE
coffee,The ambience is really great and so is the food,Product Quality,POSITIVE
matcha,"The matcha has a smooth, consistent texture with a well-balanced umami flavor and a rich, authentic …",Product Quality,POSITIVE
coffee,A high end coffee and diner in the  red_heart  of Samal with WiFi,Product Quality,POSITIVE
matcha,"The interior, aesthetic, and quality of matcha is exceptional.",Product Quality,POSITIVE
coffee,A place that truly turns simple coffee moments into unforgettable memories,Product Quality,POSITIVE
matcha,Loved the place & the matcha latte is 10/10!!,Product Quality,POSITIVE
coffee,Great coffee Delicious fresh rolls Interesting take on a full English breakfast,Product Quality,POSITIVE
coffee,"All together make a smooth and tasty coffee, perfect base also for a good cappuccino.",Product Quality,POSITIVE
coffee,Very good specialty coffee that uses freshly roasted beans and farm fresh milk.,Product Quality,POSITIVE
matcha,Loved the matcha and the creamy seta alfredo Ms. Angel was very accommodating and made the experience even better.,Product Quality,POSITIVE
coffee,A small air conditioned coffee place with a quiet atmosphere next to Bankerohan and on top the Badminton center.,Product Quality,POSITIVE
coffee,"Very cozy and the focus is not just on aesthetics, the food and drinks are also legit delicious  hundred_points",Product Quality,POSITIVE
matcha,Favorite matcha drink and pastry,Product Quality,POSITIVE
coffee,"Barok Café & Resto is a mix of coffee shop, restaurant and events place.",Product Quality,POSITIVE
coffee,the coffee was fantastic and perfect for coffee lovers exploring new options in the city.,Product Quality,POSITIVE
coffee,"You can tell that the baristas take great care in crafting each cup of coffee, ensuring that every customer is satisfied with their drink.",Product Quality,POSITIVE
coffee,A cozy place to chill and the staff are very friendly and passionate about their coffee,Product Quality,POSITIVE
coffee,Green coffee is 10 times more delicious than Boss Coffee.,Product Quality,POSITIVE
coffee,"A coffee shop with a unique coffee and clean interior, featured in trending Facebook and Instagram photos.",Product Quality,POSITIVE
coffee,"in a coffee scene that is super saturated na, this cafe has its own vibe and taste that sets it apart from the others.",Product Quality,POSITIVE
matcha,baristas are kind enough to tailor it to your taste and the beans they use smell so good?!,Product Quality,POSITIVE
matcha,Tried their Whisk Hibiscus Matcha and loved it!,Product Quality,POSITIVE
coffee,The abundance of natural light and greenery creates a peaceful and calming environment that's perfect for enjoying a cup of coffee or working on your laptop.,Product Quality,POSITIVE
coffee,Exelent verry friendly and good staff and good food,Product Quality,POSITIVE
coffee,Keep making excellent pastries and coffee!,Product Quality,POSITIVE
coffee,Sipscape Cafe is an awesome environment with amazing beverages and food!,Product Quality,POSITIVE
matcha,Tried the dirty matcha and matcha strawberry and the oat barley is really giving!,Product Quality,POSITIVE
matcha,Very nice cafe ambiance and yummy matcha!!,Product Quality,POSITIVE
coffee,The new place is absolutely a pretty go to place for the coffee lovers.,Product Quality,POSITIVE
coffee,Delicious food,Product Quality,POSITIVE
matcha,Probably one of the best coffee in Marfori!,Product Quality,POSITIVE
coffee,The perfect ambiance to enjoy your peace and coffee.,Product Quality,POSITIVE
coffee,"Coffee By The Way is not just a coffee shop; it's a serene escape into nature, offering an unparalleled coffee experience that seamlessly blends quality brews with a refreshing natural ambiance.",Product Quality,POSITIVE
matcha,The white and wood themed interior makes it a great place to hang out and have coffee.,Product Quality,POSITIVE
matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam.",Product Quality,POSITIVE
matcha,The owner is so kind and the matcha is delicious  face_savoring_food  …,Product Quality,POSITIVE
coffee,Great and accessible Halal cafe with prayer room situated in a very student-heavy location so best for studious college students who want to review while snacking on good food and drinks,Product Quality,POSITIVE
matcha,A very cozy place to chill and have matcha,Product Quality,POSITIVE
coffee,Indulge in the irresistible aroma and taste of their brewed coffee.,Product Quality,POSITIVE
coffee,Paramount Coffee Twinpalm has such a cozy and inviting atmosphere!,Product Quality,POSITIVE
matcha,"The Signature Cacao was amazing, you can really taste the …",Product Quality,POSITIVE
matcha,Matcha Bar offers a vibrant and welcoming ambiance that creates a truly enjoyable café experience.,Product Quality,POSITIVE
coffee,Excellent taste of coffee and pastries,Product Quality,POSITIVE
coffee,1 tending to the coffee and 2 tending to the food.,Product Quality,NEGATIVE
coffee,"5/5, 100/100, perfect coffee shop.",Product Quality,POSITIVE
coffee,"This cafe shop offers a warm, inviting ambiance, exceptional coffee, and friendly service that make it a must visit spot.",Product Quality,POSITIVE
coffee,Dark coffee is a must try for coffee enthisiasts like me.,Product Quality,POSITIVE
coffee,very aesthetic and loved the yogurt and drinks,Product Quality,POSITIVE
coffee,"Honey vibe, good food and coffee",Product Quality,POSITIVE
coffee,"From expertly crafted coffee to refreshing non-coffee beverages, every drink is thoughtfully prepared with quality and consistency in mind.",Product Quality,POSITIVE
coffee,My girlfriend and I visit this café several times every month because it's one of our favorite places to relax and enjoy great food together.,Product Quality,POSITIVE
coffee,Best local coffee dria sa davao  pink_heart,Product Quality,POSITIVE
matcha,"The flavor was rich, earthy, and noticeably more authentic than the average café matcha latte, with a pleasant umami depth and just the right level of sweetness.",Product Quality,POSITIVE
coffee,Very aesthetic place good service and the staff so friendly and especially to the chef lami mag luto kudos to all balik balik kami <3,Product Quality,POSITIVE
matcha,I love the Matcha drinks and soft serve ice cream.,Product Quality,POSITIVE
coffee,"Overall, Kingdom Cafe and Bistro is a hidden gem that provides an exceptional coffee shop experience.",Product Quality,POSITIVE
coffee,Coffee is good too maple_leaf,Product Quality,POSITIVE
coffee,Their coffee's distinct flavor and taste is what I truly love and sets them apart from the rest.,Product Quality,POSITIVE
coffee,"First, the coffee is so good, my friends and I would rate it a 9/10.",Product Quality,POSITIVE
matcha,update: the hot matcha latte is so good with the latte art.,Product Quality,POSITIVE
coffee,Excellent location cleverly situated in the second floor of the mall giving you a good view of all the shops and people traffic activity.,Store Operations and Accessibility,POSITIVE
coffee,"Unavoidably along the road right beside Twin Palms Residences, your eyes will revert to the two floors of space and sufficient parking lot.",Store Operations and Accessibility,POSITIVE
coffee,Spacious and Accessible,Store Operations and Accessibility,POSITIVE
coffee,Coffee and pastries is on one good location,Store Operations and Accessibility,POSITIVE
coffee,The most beautiful coffee shop in Dafawa city... open 24 hours,Store Operations and Accessibility,POSITIVE
coffee,Small cafe with an open-air space and an additional nicely-decorated second floor.,Store Operations and Accessibility,POSITIVE
coffee,Great and accessible Halal cafe with prayer room situated in a very student-heavy location so best for studious college students who want to review while snacking on good food and drinks,Store Operations and Accessibility,POSITIVE
coffee,Strategic area with many establishments nearby and shared parking space too.,Store Operations and Accessibility,POSITIVE
coffee,The place is located on the second floor of TBT building with a good amount of parking space.,Store Operations and Accessibility,POSITIVE
coffee,"The place has a bigger area inside the coffeeshop and the parking, comfortable seats.",Store Operations and Accessibility,POSITIVE
coffee,"It offers a spacious parking area and a cozy, beautifully designed space.",Store Operations and Accessibility,POSITIVE
coffee,Naa pod plants which make the atmosphere feel like you are in a jungle or close to nature.,Store Operations and Accessibility,POSITIVE
coffee,Close to appartelle oasis,Store Operations and Accessibility,POSITIVE
coffee,Original Green Coffee was in Torres Sts it has also good location.,Store Operations and Accessibility,POSITIVE
coffee,It has a highly visible location and a dedicated parking area.,Store Operations and Accessibility,POSITIVE
coffee,"Mostly, what is wow is view and location of the place.",Store Operations and Accessibility,POSITIVE
coffee,Stash has good parking space and tidy comfort room.,Store Operations and Accessibility,POSITIVE
coffee,"the location is delightful wherein you can have mountain view, delicious food and hot coffee.",Store Operations and Accessibility,POSITIVE
coffee,The location is a reminder of how green spaces make things even better.,Store Operations and Accessibility,POSITIVE
coffee,I LOVE THE AMBIANCE <3,Ambiance and Atmosphere,POSITIVE
coffee,Love the ambiance and food!,Ambiance and Atmosphere,POSITIVE
coffee,"Minimalist, great ambiance and fast service!",Ambiance and Atmosphere,POSITIVE
coffee,Ambiance is so nice and relaxing.,Ambiance and Atmosphere,POSITIVE
coffee,"Delicious coffee, chill vibes.",Ambiance and Atmosphere,POSITIVE
coffee,Love the ambiance too!,Ambiance and Atmosphere,POSITIVE
coffee,The wooden interiors give off a calming vibe.,Ambiance and Atmosphere,POSITIVE
coffee,I really like the ambiance and all.,Ambiance and Atmosphere,POSITIVE
coffee,Quiet and elegant,Ambiance and Atmosphere,POSITIVE
coffee,"The café itself has a cozy vibe, making it a great spot to relax and enjoy a delicious drink.",Ambiance and Atmosphere,POSITIVE
coffee,An aswome restaurant with great food and delightful atmosphere  OK_hand,Ambiance and Atmosphere,POSITIVE
coffee,The rich and bold flavors of the coffee really hit the spot.,Product Quality,POSITIVE
coffee,The place has such a calm and cozy vibe — definitely a café we'll always keep coming back to.,Ambiance and Atmosphere,POSITIVE
coffee,Typical chatime drinks small and fast for your cold milk tea,Product Quality,NEUTRAL
matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,POSITIVE
matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,POSITIVE
coffee,Everything is good from ambiance-food-staff.,Ambiance and Atmosphere,POSITIVE
coffee,"Sure, it looked neat and added to the overall aesthetic.",Ambiance and Atmosphere,POSITIVE
coffee,I really like the vibe of this place.,Ambiance and Atmosphere,POSITIVE
coffee,Well-made furniture and an atmosphere that's calm but not stiff.,Ambiance and Atmosphere,POSITIVE
coffee,pushpin The ambience is very homey  pushpin They had a taste of curated music playlist that sets that comforting vibe.,Ambiance and Atmosphere,POSITIVE
coffee,Place has Denny's resto kind of ambiance.,Ambiance and Atmosphere,POSITIVE
matcha,"Not aesthetically pleasing sa personal, untidy and noisy.",Ambiance and Atmosphere,NEGATIVE
coffee,Ordered Matcha Volume 1 enjoyed the drink has a very bold matcha flavor with very slight sweetness.,Product Quality,POSITIVE
coffee,The ambiance of the place is also really nice.,Ambiance and Atmosphere,POSITIVE
coffee,"I love the vibe, the food and drinks are great",Ambiance and Atmosphere,POSITIVE
coffee,The sweetness is just right to your palate and is best paired with coffee.,Product Quality,POSITIVE
coffee,me and my gf loved the atmosphere so much!,Ambiance and Atmosphere,POSITIVE
coffee,"From the moment we walked in, we felt right at home in the warm, inviting atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,Great ambiance and great food,Ambiance and Atmosphere,POSITIVE
coffee,It also has a feel good cozy vibe.,Ambiance and Atmosphere,POSITIVE
coffee,Coffee is great and the vibe of the place nice.,Ambiance and Atmosphere,POSITIVE
coffee,Coffee taste good and cream brulee just suits their coffee,Product Quality,POSITIVE
coffee,Coffee and ambiance is always great.,Ambiance and Atmosphere,POSITIVE
coffee," star  star  star  star  star  Absolutely fantastic coffee!If you are a true coffee lover, you need to visit this place.",Product Quality,POSITIVE
coffee,Saba kay ga dungan ang music ug ang saba sa mga tao.,Ambiance and Atmosphere,NEGATIVE
coffee,One of the best spot to chill and dine here in Toril!,Ambiance and Atmosphere,POSITIVE
coffee,The place itself has a really cozy atmosphere - filled with antiques and plants.,Ambiance and Atmosphere,POSITIVE
coffee,"The atmosphere transforms with the evening lights, creating a cozy and inviting setting perfect for a memorable dining experience.",Ambiance and Atmosphere,POSITIVE
coffee,"cold, quiet, and clean green coffee location.",Ambiance and Atmosphere,POSITIVE
matcha,1000000/10 for Matcha and Aglio Olio,Product Quality,POSITIVE
coffee,Ambiance is relaxing and their Coffee and Pasta is great!,Ambiance and Atmosphere,POSITIVE
coffee,That itself would say the quality of coffee bean they use... And the Ambience  hundred_points  natural... Best Part is the Bamboo Straws...,Product Quality,POSITIVE
coffee,As always the cinnamon amd their food is good,Product Quality,POSITIVE
