place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic
Kofi Gram Bangkal,4,coffee,The coffee scent welcomes you the moment you open the door.,Product Quality,,False
Espresso Lab Cafe Davao,4,coffee,I hope they can improve on their coffee strength and customer service.,Product Quality,,False
Cafe Basilico,5,coffee,"But that's my private taste, everyone else might have a different meaning about this.",Product Quality,,False
Fourth Street Cafe,5,coffee,Got the Spanish latte.,Product Quality,,False
Out of Boredom,5,matcha,they definitely have good coffee beans!,Product Quality,,False
Whisk Davao Matcha,5,matcha,Very welcoming and kind ang staff esp miss Russell who knows us well na & is very lovely in preparing our orders sparkling_heart we keep coming back for more~ Matcha is superb and my fiancé's favorite is their cacao drink matched with their chocolate …,Customer Service,,False
Cafe Demitasse,5,coffee,Nice food quality.,Product Quality,,False
Whisk It Good Matcha,5,matcha,"First of all, their matcha is really good.",Product Quality,,False
Cafe Tavera,5,coffee,"Giving this resto a 5-star except for the atmosphere, because it can get crowded (which says a lot, by the way) and noisy.",Ambiance and Atmosphere,,False
Mille Matcha - DGT,5,matcha,They make good matcha.,Product Quality,,False
The Coffee Bar at GMall of Davao,5,coffee,"Service is friendly and efficient,",Customer Service,,False
Purge Coffee Roaster,5,coffee,"The staff were incredibly friendly and accommodating, taking the time to explain the beans used for their coffee, which added to the overall enjoyment of the visit.",Customer Service,,False
The Bloom Coffee & Start-Up Space,5,coffee,A very chill place specially if you want to work and study.,Facilities and Amenities,,False
Daleachious Cafe - Bago Aplaya Branch,5,coffee,Food & Drinks were 100000/10 accommodating staff & store is neat and organized!,Product Quality,,False
The Limestone Brew,5,coffee,The best Matcha better than Matcha Tokyo and the best Truffle Pasta I had period.,Product Quality,,False
Fika Cafe - Lapu-Lapu,5,coffee,Their coffee surprises from the first aroma to the last lingering taste - this coffee is perfection!,Product Quality,,False
Fiend Coffee Club,5,coffee,"Great coffee, owner is very friendly and accomodating.",Product Quality,,False
BRGR Alley Café,5,coffee,We didn't want to continue if there was no proper parking so good thing we found it.,Store Operations and Accessibility,,False
JH Garden Cafe and Restaurant Matina,5,coffee,The staff and their Chef didn't hesitate to provide us with good service and delicious food.,Product Quality,,False
BRGR Alley Café,5,coffee,"The staff were also warm, polite, and friendly, which made the experience even better.",Customer Service,,False
&Matcha - Three Yards,5,matcha,10/10 because the matcha tastes really good.,Product Quality,,False
Habitat Coffee - Tionko Branch,5,coffee,Such a Gen Z vibe - groovy and cozy.,Ambiance and Atmosphere,,False
