place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
Floury Cafe,3,matcha,"The place itself is really nice and has a good ambiance, more ideal for groups since the tables are quite big, not so much for just one or …",Ambiance and Atmosphere,,False,0.40543306,0.20792982,0.3866371,NEGATIVE,0.018795967
Poblacion Brews,2,coffee,Daghan lang aesthetic plants pero huot kaayo ang agianan.,Ambiance and Atmosphere,,True,0.39005068,0.22405308,0.38589624,NEGATIVE,0.0041544437
Ecoland Cafe,1,coffee,"Aesthetic man pero init kaayo, way gamit ilang fans.",Ambiance and Atmosphere,,True,0.3997968,0.21413945,0.38606375,NEGATIVE,0.013733059
The Glasshouse,1,coffee,"Way lami ang playlist nila, maka duka paminawon.",Ambiance and Atmosphere,,True,0.4065888,0.21062167,0.3827896,NEGATIVE,0.023799181
Green Bread - Matina,3,coffee,"Place is unique, nice ambiance.",Ambiance and Atmosphere,,False,0.4285811,0.14971633,0.4217026,NEGATIVE,0.006878495
KISOM Atelier,3,matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,,False,0.39132327,0.21979854,0.38887823,NEGATIVE,0.0024450421
Daleachious Cafe - Buhangin Branch,3,coffee,"The Wi-Fi is reliable and fast, which makes it a highly productive environment for students and professionals alike.However, the atmosphere can be a bit of a gamble.",Ambiance and Atmosphere,,False,0.41102442,0.1975444,0.39143118,NEGATIVE,0.019593239
Koffiepauze,3,matcha,Relaxing ambiance,Ambiance and Atmosphere,,False,0.39021397,0.21876352,0.39102253,POSITIVE,0.0008085668
Yukiss Cafe and KTV,1,coffee,"Pros: Beautiful aesthetic, polite doorman, and polite young male staff.",Ambiance and Atmosphere,,False,0.4096265,0.18804592,0.40232757,NEGATIVE,0.0072989464
JH Garden Cafe and Restaurant Matina,3,coffee,Probably will come back there for a morning coffee and chill since the place has a nice ambiance.,Ambiance and Atmosphere,,False,0.4032909,0.20870455,0.3880045,NEGATIVE,0.015286386
Cafe Demitasse,3,coffee,"good food, nice ambiance.",Ambiance and Atmosphere,,False,0.4582993,0.11265851,0.42904216,NEGATIVE,0.029257149
Brewed Obrero,2,coffee,Suffocating kay wala silay proper ventilation sa kusina.,Ambiance and Atmosphere,,True,0.39774397,0.21804221,0.3842138,NEGATIVE,0.013530165
Coffee at Yellow Hauz,1,coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere,,False,0.39200398,0.2140924,0.39390364,POSITIVE,0.0018996596
Dopio Café,2,coffee,"Now 86(no more, sadly) was once the best experience you can have in toril at the moment for a really nice chill place to relax.",Ambiance and Atmosphere,,False,0.39730304,0.21527228,0.38742474,NEGATIVE,0.009878308
PICKUP COFFEE - Davao Finance Center,1,coffee,"We went last Aug. 7 around 3pm, the girl with hair above her shoulder, don't know her name, so unprofessional, she enjoys her kpop music more than the customers, also forgot our change, good thing my friend remembered, gosh!",Ambiance and Atmosphere,,False,0.40376657,0.21920896,0.3770245,NEGATIVE,0.02674207
Aesthetic Beans,2,coffee,"Puro aesthetic ra ni, dili conducive for remote work gyud.",Ambiance and Atmosphere,,True,0.39540318,0.2141955,0.39040133,NEGATIVE,0.005001843
Green Coffee - Marfori,3,coffee,"Overall, it's the entirety of the place that keeps me coming back to basically chill and hangout.",Ambiance and Atmosphere,,False,0.3920605,0.21972404,0.38821545,NEGATIVE,0.003845036
Dear Joe Frontera,3,coffee,"I really loved the overall setup, aesthetic, and cleanliness of this place.",Ambiance and Atmosphere,,False,0.39824563,0.2006175,0.40113688,POSITIVE,0.0028912425
Cafe Gervacios - Pastry and Coffee in Davao City,1,coffee,"While the aesthetic ambiance is inviting, customer service needs improvement.",Ambiance and Atmosphere,,False,0.4148254,0.18680063,0.39837396,NEGATIVE,0.016451448
Mori & Mill,2,coffee,atmosphere: parking is awful.,Ambiance and Atmosphere,,False,0.4259875,0.1802141,0.39379847,NEGATIVE,0.03218904
Lately Coffee,3,coffee,"Great Late-Night Spot with a Cozy Vibe If you're looking for a place to grab a drink after the usual cafe hours, Lately Coffee is a solid option.",Ambiance and Atmosphere,,False,0.3945278,0.22012368,0.38534853,NEGATIVE,0.009179264
Matcha Loco,1,matcha,Aesthetic daw pero hugaw ang tables ug init.,Ambiance and Atmosphere,,True,0.39400145,0.21891275,0.38708577,NEGATIVE,0.0069156885
Kotetsu by Wood and Coffee,3,coffee,"During my visit around 9 p.m. (close to closing time), it wasn't crowded at all, which made for a relaxed atmosphere.",Ambiance and Atmosphere,,False,0.43119636,0.17962858,0.3891751,NEGATIVE,0.042021275
Brewed Obrero,2,coffee,Puro aesthetic pero fail sa comfort and temperature.,Ambiance and Atmosphere,,True,0.38846612,0.22343186,0.38810202,NEGATIVE,0.00036409497
The Glasshouse,2,coffee,"Saba ang dalan, wala silay proper sound insulation.",Ambiance and Atmosphere,,True,0.40858385,0.20412236,0.38729382,NEGATIVE,0.021290034
Cafe Demitasse,3,coffee,It can get quite noisy too.,Ambiance and Atmosphere,,False,0.40247232,0.20725186,0.39027578,NEGATIVE,0.012196541
Coffeecat,2,coffee,This place has the ambiance of a McDonald's and as you would expect families taking huge blocks of the comfortable seating that exist.,Ambiance and Atmosphere,,False,0.39126852,0.22280623,0.38592517,NEGATIVE,0.005343348
Barok Cafe and Resto,2,coffee,"Crème Brulee Cake - P200.00 San Rival Cake - P190.00 Barok Vanilla 10oz - P170.00 I am not sure if I wanted to come back since I did not like the vibe, it was just too loud for my liking.",Ambiance and Atmosphere,,False,0.4057828,0.21656966,0.37764755,NEGATIVE,0.02813524
Ecoland Cafe,1,coffee,Pangit ang vibe kay ga share kag table sa sobra ka huot.,Ambiance and Atmosphere,,True,0.38865614,0.22899407,0.3823498,NEGATIVE,0.00630635
Starbucks - SM City Davao,3,coffee,"This Starbucks branch is usually a bit cramped and crowded making it sometimes hard to find an immediate available seat or table to chill, given that it is located in a mall.",Ambiance and Atmosphere,,False,0.41699976,0.20246728,0.38053295,NEGATIVE,0.036466807
Matcha Vibes,1,matcha,"Bati ilang playlist, maka wala og gana mag stay.",Ambiance and Atmosphere,,True,0.4227484,0.19656259,0.38068897,NEGATIVE,0.04205942
Aesthetic Beans,2,coffee,Puro aesthetic pero murag sauna ang kainit sa sulod!,Ambiance and Atmosphere,,True,0.38995442,0.22035685,0.38968873,NEGATIVE,0.0002656877
Matcha Vibes,1,matcha,"Dili chill ang ambiance, pirmi nagdali ang mga tao.",Ambiance and Atmosphere,,True,0.39853114,0.21181996,0.38964888,NEGATIVE,0.008882254
Brew Lane Café,3,coffee,"Brew Lane Cafe is a great spot to chill, especially with friends.",Ambiance and Atmosphere,,False,0.4003292,0.20825085,0.3914199,NEGATIVE,0.008909315
Slate Coffee + Deli,1,coffee,Love the vibe and the food but how are you not open 20 minutes past your opening time?,Ambiance and Atmosphere,,False,0.40555757,0.2089269,0.3855155,NEGATIVE,0.020042062
The Secret Garden Cafe,3,coffee,Chill place.,Ambiance and Atmosphere,,False,0.42522126,0.17694674,0.39783198,NEGATIVE,0.027389288
Matcha Loco,1,matcha,Puro aesthetic display pero ang ambiance murag fast food chain ka saba.,Ambiance and Atmosphere,,True,0.39549348,0.2132358,0.39127076,NEGATIVE,0.004222721
Floury Cafe,3,matcha,Nice space and ambiance but it can get noisy if there are a lot of people.,Ambiance and Atmosphere,,False,0.40458086,0.20693007,0.3884891,NEGATIVE,0.016091764
Barok Cafe and Resto,3,coffee,"That said, I really appreciated the ambiance of the place.",Ambiance and Atmosphere,,False,0.40863043,0.1890205,0.40234908,NEGATIVE,0.006281346
Vibes Cafe,1,coffee,Saba ang nag dula ug mobile legends sa pikas table.,Ambiance and Atmosphere,,True,0.39229935,0.2247971,0.38290352,NEGATIVE,0.009395838
The Coffee Bar at GMall of Davao,1,coffee,Not fit for chill and relax.,Ambiance and Atmosphere,,False,0.40403613,0.20540754,0.3905563,NEGATIVE,0.013479829
Es.cafe,2,coffee,"The food, service, and atmosphere are all solid B's.",Ambiance and Atmosphere,,False,0.4076033,0.18780096,0.40459582,NEGATIVE,0.0030074716
Matcha Point,1,matcha,Saba ang mga istudyante na naga dula og cards sa pikas table.,Ambiance and Atmosphere,,True,0.38822117,0.22947362,0.38230515,NEGATIVE,0.005916029
Paramount Coffee Crocodile Park Davao,2,coffee,"the drinks were delicious, and the ambiance was great including the staff but I found an insect sa cream ng iced creamy latte ko :/ hope they pay attention next time to the drinks they give out",Ambiance and Atmosphere,,False,0.42543083,0.19124644,0.38332278,NEGATIVE,0.04210806
Vibes Cafe,2,coffee,"Daghan kayg lamok sa ilang al fresco area, grabe!",Ambiance and Atmosphere,,True,0.39678562,0.21282338,0.39039102,NEGATIVE,0.006394595
Coffee By The Way,1,coffee,"But the place is aesthetic, you go home with nice pics.",Ambiance and Atmosphere,,False,0.4009274,0.20552745,0.39354515,NEGATIVE,0.007382244
Brewed Obrero,2,coffee,"Ang baho sa gawas musulod, makawala sa kape vibe.",Ambiance and Atmosphere,,True,0.39838916,0.21692176,0.3846891,NEGATIVE,0.013700068
Poblacion Brews,2,coffee,"Guba ilang suga ga flicker-flicker, sakit sa mata mag tuon.",Ambiance and Atmosphere,,True,0.3980197,0.21755806,0.38442227,NEGATIVE,0.013597429
The Crazy Bite Co. Sky Cafe,2,coffee,Ambiance is nice but their food is blah lol,Ambiance and Atmosphere,,False,0.3989912,0.21757019,0.38343862,NEGATIVE,0.01555258
The Bloom Coffee & Start-Up Space,2,coffee,The ambiance was nice pero the only problem is that they served our food almost 2hrs.,Ambiance and Atmosphere,,False,0.41793132,0.20104252,0.38102612,NEGATIVE,0.0369052
Matcha Point,1,matcha,"Wa silay music, madungog nimo chika sa tanan table, super awkward.",Ambiance and Atmosphere,,True,0.40070528,0.21690497,0.38238978,NEGATIVE,0.018315494
Dunkin' Donuts- C. P. Garcia Highway,3,coffee,The place itself is also fine and aesthetic.,Ambiance and Atmosphere,,False,0.38790655,0.21767488,0.39441863,POSITIVE,0.0065120757
Brewed Obrero,2,coffee,"Way privacy, makadungog naka sa chika sa pikas table.",Ambiance and Atmosphere,,True,0.3935771,0.22004697,0.38637587,NEGATIVE,0.0072012246
Green Coffee - Diversion,1,coffee,Atmosphere is great for working and studying.,Ambiance and Atmosphere,,False,0.38737515,0.22416878,0.38845608,POSITIVE,0.0010809302
Ecoland Cafe,1,coffee,PURO PA AESTHETIC pero baho man og abog sa sulod.,Ambiance and Atmosphere,,True,0.39235038,0.22128823,0.3863614,NEGATIVE,0.0059889853
Floury Cafe,3,matcha,"While the place is clean and has a pleasant ambiance, the food quality unfortunately doesn't live up to the setting.",Ambiance and Atmosphere,,False,0.41811883,0.19139494,0.39048615,NEGATIVE,0.027632684
Brew Lane Café,3,coffee,What I really love about this place is the relaxed atmosphere.,Ambiance and Atmosphere,,False,0.39521533,0.21006668,0.39471805,NEGATIVE,0.00049728155
Vibes Cafe,1,coffee,Alimuot kaayo kay sigeg abli-sira ang ilang main door.,Ambiance and Atmosphere,,True,0.3919398,0.22506644,0.3829938,NEGATIVE,0.0089460015
Matcha Masa,2,matcha,"Sakit sa mata ilang suga, murag operating room sa clinic. Dili man lang i-adjust aron relaxing ang palibot.",Ambiance and Atmosphere,,True,0.39673662,0.22259943,0.38066387,NEGATIVE,0.01607275
Starbucks - SM City Davao,2,coffee,"Crowded, noisy, and expensive",Ambiance and Atmosphere,,False,0.43417093,0.16484852,0.40098053,NEGATIVE,0.0331904
Cafe Julieta,3,coffee,The ambiance is amazing but they should add more to their menu considering that they make tasty food.,Ambiance and Atmosphere,,False,0.4175368,0.19874215,0.38372105,NEGATIVE,0.03381574
Thirty Third Café,3,coffee,"It used to be a nice café where you could chill, read a book, enjoy your drink in a calm and relaxing atmosphere but not anymore.",Ambiance and Atmosphere,,False,0.3999219,0.21119705,0.38888106,NEGATIVE,0.011040837
Space-Arabica,3,coffee,Ambiance is good but the arrangement of the upper floor makes every movement seem noisier than it is and disrupts other cx.,Ambiance and Atmosphere,,False,0.39500102,0.22231695,0.3826821,NEGATIVE,0.012318909
Dunkin’ Phoenix Drive Thru,3,coffee,"Of all the times I've ordered, about 50% of the time, the staff gets it wrong and packs the wrong donut(s).",Customer Service,,False,0.41856506,0.20998748,0.37144753,NEGATIVE,0.04711753
"KAOS CAFE - 24 Hours, Jacinto St.",1,coffee,"If there was only one kitchen staff member and they were new, shouldn't the dishes have at least been prepared and served chronologically based on when orders were placed?",Customer Service,,False,0.40425643,0.21878415,0.37695944,NEGATIVE,0.02729699
Starbucks - Abreeza Mall,2,coffee,So we got the attention of the crew then she traced and viola!,Customer Service,,False,0.39588934,0.22314484,0.38096577,NEGATIVE,0.014923573
Seattle's Best Coffee,3,coffee,"Has only 1 cashier resulting in a very long queue and long waiting for order(s) Lots of space, cold aircon, and clean comfort rooms.",Customer Service,,False,0.42245594,0.19943312,0.378111,NEGATIVE,0.04434493
Dunkin’ | Gaisano Mall of Davao,2,coffee,Super rude cashier named AIRA!!!!,Customer Service,,False,0.399614,0.21657659,0.38380933,NEGATIVE,0.015804678
Barok Cafe and Resto,1,coffee,I hope they can improve their serving time because the overall dining experience would be much better with faster service.,Customer Service,,False,0.41865435,0.20823362,0.3731121,NEGATIVE,0.04554224
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,Than realizing that you already secured your tip by including service charge is terrible etiquette in my opinion.,Customer Service,,False,0.3945798,0.2290641,0.37635607,NEGATIVE,0.018223733
Brew and Cinnamon Cafe,2,coffee,"Still welcome the idea of a second visit — hopefully, better service/staff attitude and improved food taste.",Customer Service,,False,0.4267928,0.1913741,0.38183314,NEGATIVE,0.044959664
Lately Coffee,3,coffee,A little more focus on customer service would go a long way.,Customer Service,,False,0.4182307,0.2034255,0.3783438,NEGATIVE,0.03988692
We Got Cha! - Mintal,3,coffee,I almost pass out when they used a very strong kind of Clorox agent... You can cry inside the cafe when the staff put it in the toilet.,Customer Service,,False,0.41183344,0.21154533,0.37662125,NEGATIVE,0.03521219
Annipie - SM Lanang,1,coffee,"I love Annipie's food specially carbonara but the service here, in such a small restaurant is a mess.",Customer Service,,False,0.42271635,0.2015053,0.37577832,NEGATIVE,0.046938032
Dunkin’ - SM Lanang,1,coffee,Basic customer service etiquette dictates that staff should be mindful of patrons while they are still enjoying their meal.,Customer Service,,False,0.39733508,0.22177102,0.38089392,NEGATIVE,0.016441166
Wood and Coffee Davao,2,coffee,"Pero, ang ironic lang that a place designed with nature vibes isn't environmentally friendly.",Customer Service,,False,0.4150712,0.20193467,0.38299415,NEGATIVE,0.032077044
PICKUP COFFEE - Felcris Centrale,1,coffee,The coffee is great but customer service is zero its sad that no option to put zero star in service.,Customer Service,,False,0.4186333,0.20527151,0.3760952,NEGATIVE,0.042538106
HYGGE COFFEE 2,1,coffee,We informed the staff politely and they told us they would fix it within 5 minutes.,Customer Service,,False,0.42174312,0.20465122,0.37360567,NEGATIVE,0.048137456
Cafe Tadeo,2,coffee,"It's always during the EARLIEST TIME of the day when staff are NOT ALERT/unattentive that I usually see warning signs…..Flat white and Bangsilog was just……..If I'm coming back well, you know the answer….",Customer Service,,False,0.41338474,0.2103904,0.3762249,NEGATIVE,0.03715983
Coffee at Yellow Hauz,1,coffee,"This is what happened: after I parked my scooter in a designated spot, a customer rudely suggested to the crew that it should be thrown into a canal!",Customer Service,,False,0.4135332,0.2117194,0.3747474,NEGATIVE,0.038785815
Kiks Davao,1,coffee,"A beautiful space can attract people, but good customer service and customer comfort are what make them want to come back.",Customer Service,,False,0.41100943,0.19735307,0.39163744,NEGATIVE,0.019371986
ZeusX Esports and Cafe,1,coffee,"On the other hand, I appreciate the male staff who was there at the time—his approach was much more respectful and understanding.",Customer Service,,False,0.43141413,0.18571076,0.38287514,NEGATIVE,0.048538983
Paramount Coffee Crocodile Park Davao,2,coffee,"Food: Decent but overpriced Service: Expect to wait 90+ minutes on a Sunday Atmosphere: Sit outside adjacent to 3 carparks surrounding you and breathe in the carbon monoxide from the idle viechles as you sit wishing for your food to arrive for 90+ minutes, simply hoping it would arrive so you can get out of here already.",Customer Service,,False,0.41722354,0.20881811,0.37395844,NEGATIVE,0.043265104
Kove,3,coffee,Why not put the menu inside so that it's not too hassle for your customers and your staff assigned outside?,Customer Service,,False,0.40844375,0.2170587,0.37449762,NEGATIVE,0.033946127
Seattle's Best Coffee,1,coffee,i waited more than 30 minutes waiting in line just to order a drink while there's staff refilling already filled paper cup dispensers.,Customer Service,,False,0.4135147,0.21410285,0.37238243,NEGATIVE,0.04113227
Cinnabon SM Lanang Davao,3,coffee,Would it hurt for its crew for a smile not a frown.,Customer Service,,False,0.41892698,0.20811665,0.37295637,NEGATIVE,0.04597062
PICKUP COFFEE - Gaisano Mall of Davao,2,coffee,"Now, I don't really have a problem with how much the cost was, but rather how your employee, specifically your CASHIER handled the situation.",Customer Service,,False,0.4176937,0.20735784,0.37494847,NEGATIVE,0.042745233
HYGGE COFFEE 2,1,coffee,Is that how your staff should behave?!!,Customer Service,,False,0.41408056,0.20688005,0.37903935,NEGATIVE,0.035041213
Green Coffee - Marfori,3,coffee,Kind staff Good place to study and chill for an exted period of time.,Customer Service,,False,0.40393627,0.20840636,0.3876574,NEGATIVE,0.016278863
Seattle's Best Coffee,1,coffee,"The food would have been delicious but the ""SERVICE"" we've waited almost 2 hours for the Drinks only hahahaha worst!",Customer Service,,False,0.41162974,0.21555115,0.3728191,NEGATIVE,0.03881064
LASA DAVAO,3,coffee,Having a running inventory would have saved both sides (me and the cashier) the trouble.,Customer Service,,False,0.40830824,0.21627939,0.3754124,NEGATIVE,0.032895833
The Coffee Bar at GMall of Davao,1,coffee,"First, the cashier S****** told us that the serving time of our orders, iced matcha latte and iced caramel latte will take 1 hour and 30 mins, we were confused why but we chose to understand so we did not really mind it.",Customer Service,,False,0.4066364,0.21990398,0.37345967,NEGATIVE,0.03317672
Steep Kohi,1,coffee,"If you're wondering why the quality of the drinks and service here has steeply declined, it's because the creative force behind this cafe's previous success has moved on.",Customer Service,,False,0.40690884,0.21617442,0.37691674,NEGATIVE,0.029992104
Chatime - SM Ecoland Davao,2,coffee,"personally rated this 2 stars only because of poor costumer service, the lady on duty wed. Jan.22, 5pm is not courteous, and gave us a wrong tea order., I told her nxt time listen to the order...the owner should talk to this not so courteous employee.",Customer Service,,False,0.42272598,0.20005772,0.37721637,NEGATIVE,0.045509607
Finca,1,coffee,it wouldn't be a very bad experience if the staff was nice,Customer Service,,False,0.40456372,0.21721311,0.37822315,NEGATIVE,0.026340574
Krispy Kreme Doughnuts® - SM Lanang,2,coffee,you'd get better service at a busy jollibee.,Customer Service,,False,0.40892112,0.21680336,0.37427548,NEGATIVE,0.034645647
AtCurbside,1,coffee,"the barista then looked at me and said ""dito lang po sir for payment"" referring to the front of the line.",Customer Service,,False,0.4005546,0.2234272,0.37601823,NEGATIVE,0.024536371
Seattle's Best Coffee,1,coffee,Kitchen staff and bar staff is very overwhelmed and unterstaffed even the place is not 100% capacity,Customer Service,,False,0.39550003,0.22514409,0.3793559,NEGATIVE,0.016144127
Barok Cafe & Resto,1,coffee,NOT RECOMMENDED for the service and WiFi policy.,Customer Service,,False,0.4172444,0.20072511,0.38203046,NEGATIVE,0.035213947
Mori & Mill,1,coffee,"Finally the table that was ""assigned"" to us was vacant, THEN THE STAFF TOOK ALMOST 20 MINS TO CLEAN ONE TABLE.",Customer Service,,False,0.41678512,0.20696178,0.3762531,NEGATIVE,0.040532023
Seattle's Best Coffee,3,coffee,The order taker /cashier is coughing good thing she wears mask after she took my order.,Customer Service,,False,0.41069448,0.21326856,0.37603697,NEGATIVE,0.034657508
Humble Table,3,coffee,"On the bright side, I appreciate that their drinks are Singaporean-inspired, as the barista shared.",Customer Service,,False,0.41452724,0.20083044,0.3846423,NEGATIVE,0.029884934
Mori & Mill,1,coffee,"I really wanted to enjoy my dining experience here because the restaurant has a nice ambiance and the food is on the pricier side, so I expected good service.",Customer Service,,False,0.41813877,0.20218936,0.37967193,NEGATIVE,0.03846684
PICKUP COFFEE - Gaisano Mall of Davao,1,coffee,"Then it's obvious that it's all ice, it's like the worst branch, fix your barista.",Customer Service,,False,0.40686372,0.21785095,0.37528536,NEGATIVE,0.031578362
Krispy Kreme Factory Store Davao,1,coffee,Poor customer service,Customer Service,,False,0.42010024,0.20157097,0.37832874,NEGATIVE,0.0417715
Hola Coffee,1,coffee,Rude barista (the girl) and they look like they don't know how to make the beverages since they always look up for measurements.,Customer Service,,False,0.41117793,0.21604508,0.37277696,NEGATIVE,0.038400978
Annipie - SM Lanang,1,coffee,Their best branch in terms of service I think is DGT.,Customer Service,,False,0.40760446,0.21313792,0.37925768,NEGATIVE,0.028346777
Coffee Project Mintal,1,coffee,Marj the cashier is very polite.,Customer Service,,False,0.41955605,0.19507997,0.385364,NEGATIVE,0.034192055
Starbucks,3,coffee,Sometimes they can't hear barista's voice in getting your coffee.,Customer Service,,False,0.40838194,0.2173867,0.37423134,NEGATIVE,0.0341506
Coffee Project Mintal,3,coffee,"Great place to meet up with friends, great and varieties of food to choose from, spacious and well mannered staff, must try their sardines & cheese pandesal",Customer Service,,False,0.42252347,0.19416644,0.38331008,NEGATIVE,0.03921339
Solace - Coffee Club,2,coffee,We saw your shop and the ambiance is very comfy we love the ambiance But I was disappointed because of the staff and my husband ordered some of your café drinks.,Customer Service,,False,0.40725616,0.21114686,0.38159698,NEGATIVE,0.025659174
ZeusX Esports and Cafe,1,coffee,"Customer service matters a lot, especially when it comes to how staff handle unexpected situations.",Customer Service,,False,0.42344037,0.19485861,0.38170096,NEGATIVE,0.041739404
Starbucks - SM Lanang,1,coffee,"Especially a name Marvin, worst staff ever, get angry about me for my late order that takes 30 mins for a one grande ice macchiato.",Customer Service,,False,0.40314072,0.22183238,0.37502688,NEGATIVE,0.028113842
Barok Cafe and Resto,1,coffee,Poor customer service,Customer Service,,False,0.42010024,0.20157097,0.37832874,NEGATIVE,0.0417715
Yukiss Cafe and KTV,1,coffee,It's such a pity that a great business is being ruined by the terrible attitude of its employees.,Customer Service,,False,0.4079322,0.21808773,0.3739801,NEGATIVE,0.033952087
ROOFTOP Café Bar,3,coffee,The only nice thing about your place is your staff who are accommodating and smiley.,Customer Service,,False,0.420337,0.19422635,0.38543665,NEGATIVE,0.034900337
Yukiss Cafe and KTV,1,coffee,I am writing this review directly from the venue to express my deep disappointment with the service at Yukiss Cafe & Events Room.,Customer Service,,False,0.4094546,0.21053994,0.38000542,NEGATIVE,0.029449195
Seattle's Best Coffee,1,coffee,worst cafe experience ever— it was supposed to be my first time to try here and upon entering I walked towards the counter and asked nicely if they have Priority Lane (prior to asking them i already presented my PWD ID to one of the staff at the counter) and they said 'No' which is i'm kinda confused kasi every cafes i went have the special lane and i think it's mandatory to have a special lane to every establishments (?),Customer Service,,False,0.4031093,0.22382909,0.37306163,NEGATIVE,0.030047685
Starbucks - SM Lanang,3,coffee,Not so conveniently placed shack-like barista inside the mall.,Customer Service,,False,0.41414165,0.20345159,0.38240677,NEGATIVE,0.031734884
Mori & Mill,1,coffee,"It is very inconvenient to order in an iPad considering they have service charge, in the end the customer do all the service.",Customer Service,,False,0.41819102,0.21047175,0.37133726,NEGATIVE,0.04685375
Barok Cafe & Resto,1,coffee,"If you're going to run a self-service restaurant, at least make sure the basics—like handing out a canned drink—don't take longer than preparing the actual meal.",Customer Service,,False,0.40976864,0.21501245,0.375219,NEGATIVE,0.034549654
"KAOS CAFE - 24 Hours, Jacinto St.",2,coffee,"I believe staff should be properly trained and consistently reminded about hygiene standards, including wearing appropriate uniforms and face masks, and knowing what to do when coughing or sneezing while on duty.",Customer Service,,False,0.40562522,0.21070248,0.38367227,NEGATIVE,0.021952957
HYGGE COFFEE 2,1,coffee,"The cashier has an attitude, just scanning the QR code again and still getting angry",Customer Service,,False,0.39586306,0.22644515,0.3776918,NEGATIVE,0.01817125
