place_name,rating,shop_type,sentence,TargetAspect
Lara Mia Café & Bistro,5,coffee,Good food!,Product Quality
Green Coffee - Diversion,5,coffee,"Ambiance, quality, service, space, parking, everything!",Store Operations and Accessibility
Fourth Street Cafe,5,coffee,Purely coffee and they sell their beans.,Product Quality
Coffee Project Mintal,5,coffee,Good place and nice ambiance but needs a little bit oc dusting  beaming_face_with_smiling_eyes,Ambiance and Atmosphere
Seattle's Best Coffee,1,coffee,Its has a really wierd after taste.,Product Quality
HYGGE COFFEE 2,1,coffee,always poor and slow ang customer service.,Customer Service
Kafih - Davao,5,coffee,The ambiance of the place feels so nice!,Ambiance and Atmosphere
Kapenato,4,coffee,"- great ambiance - limited wifi (2 hr voucher) their matcha is okay, not too bitter.",Ambiance and Atmosphere
Matcha Ureshi Bar,5,matcha,"Plus, they close late which is perfect for late-night matcha cravings.",Product Quality
Seattle's Best Coffee,2,coffee,Nothing special about their coffee or food.,Product Quality
Steep Kohi,4,coffee,I hope they do well and move to a bigger and better location!,Store Operations and Accessibility
Fourth Street Cafe,4,coffee,"They don't really have backrests so if your just planning for a quick coffee stop, or if your planning to kill time alone while waiting for your friends or family, then this is the place to go.",Product Quality
Glasshouse Coffee,5,coffee,"Cozy, intimate, peaceful place for artists and writers to catch up and rekindle their passion over a cup of coffee.",Product Quality
Cafe Demitasse,4,coffee,Parking space is quite limited.,Store Operations and Accessibility
Barok Cafe and Resto,5,coffee,We have been to their other location many times since we live close to it.,Store Operations and Accessibility
Thirty Third Café,5,coffee,"The number of types of cakes is limited, as are the various milkshakes, most of which do not exist, but the coffee is good.",Product Quality
Acacia Lane Coffee Shop,5,coffee,"The ambiance is cozy, the staff are warm and friendly, and they even have a car wash—so you can relax with a good meal or drink while waiting for your car to be cleaned.",Ambiance and Atmosphere
Y3 Cafe,5,coffee,Good for a quick coffee grab.,Product Quality
Coffeecat,3,coffee,"Service and the place is good, average price range for the food and drinks but not palatable as I thought it would be.",Product Quality
Happy Valley Cafe Davao,5,coffee,Stopped for a coffee with a friend and we were impressed at the added brewed coffee bar and new foods menu!,Product Quality
Green Coffee - Marfori,3,coffee,Prices are a bit expensive.,Price and Value
Dakong Balay,4,coffee,I am not so convinced with the food taste and value for money though.,Product Quality
Hygge Coffee,5,coffee,I found this amazing place that was not only open but also incredibly comfortable to work in.,Store Operations and Accessibility
Starbucks - SM City Davao,4,coffee,Always crowded here but very helpful and friendly employees,Ambiance and Atmosphere
Glasshouse Coffee,3,coffee,"I hope this improves because the place itself has potential, but the attitude of the staff made the experience awful.",Customer Service
Starbucks,5,coffee,"Despite being in the heart of the city, it's easy to access, and the atmosphere is welcoming.",Ambiance and Atmosphere
Matcha Bar - Marfori,5,matcha,Very good matcha and service!,Product Quality
Inherent Coffee,5,coffee,Perfect blend of a neighborly coffee stop done right with delicious filling food.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,3,coffee,"There were a lot of staff present, but service was slower than expected.",Customer Service
RE-Ground Coffee & Cafe,5,coffee,"The service is fast, and the drinks are TOP TIER, especially the cookies  drooling_face",Customer Service
BRGR Alley Café,5,coffee,This place is so lovely  smiling_face_with_heart-eyes  Food is  heart_hands_medium-light_skin_tone  Service  heart_hands_medium-light_skin_tone,Product Quality
Zestea Brew (Milk Tea and Coffee),5,coffee,Nice café with great food and good milk tea.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,Joshua was a very accommodating server!,Customer Service
The Coffee Bar at GMall of Davao,4,coffee,The ambiance is great for studying and working.,Ambiance and Atmosphere
JAS Caffeinated,3,coffee,The place serves good food but a bit too crowded,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,It does live up to its name of being a collaborative space.,Facilities and Amenities
The Matcha Tokyo - Azuela High Street,5,matcha,You can tell they use good quality matcha because the flavor is smooth and a bit earthy.,Product Quality
Annipie @ The Farm,5,coffee,Try to call or message first for reservations if you want to order food in advance and/or secure tables inside the restaurant.,Product Quality
ANTE FOOD HUB,5,coffee,"If you're close to Drea, especially if you're from Juliville like me, it's a good place to go if you want to have coffee or snacks, the ambiance is nice and you can just chill.",Product Quality
Cafe Julieta,3,coffee,The place is instagrammable but I think or we think together with the people I was with at that time that the variety of food they served in the buffet setting is so lacking.,Ambiance and Atmosphere
"Miss Bridgette,",4,matcha,"I had the Bolognese Mozzarella Pasta and an Iced Spanish Latte (I think  grinning_face_with_sweat ) at Miss Bridgette, and I was very impressed!",Product Quality
HWYL COMMUNITY CAFÉ,5,coffee,"Pretty place  sparkles  i really enjoyed what i ordered (matcha bloom and korean chicken burger) the chicken burger is actually pretty heavy and i really like the buns that they used, its nt the typical airy kind of bun, medjo heavy and buttery sya which made it taste so much better.",Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,"The food is so good and the atmosphere is so coozy I love it,we love it actually can't wait to go back here red_heart",Ambiance and Atmosphere
Cafe Basilico,4,coffee,"The café is highly accessible, located right along Manambulan-Tagakpan Road (the Davao-Cotabato Old Road) in Crossing Bayabas.",Store Operations and Accessibility
Wood and Coffee Davao,3,coffee,"Then when they served you the food was cold, I thought the meal was too hot because we had been waiting for more than an hour.",Product Quality
blank space coffee dvo,4,coffee,"As this used to open at 3 p.m. therefore, my many failed tries to make the trip.",Store Operations and Accessibility
Coffee Project Mintal,3,coffee,The coffee is quite pricey but not living up to the palate.,Product Quality
T'Brews Cafe,5,coffee,Intimate ambiance.,Ambiance and Atmosphere
Cafe Demitasse,5,coffee,Food was great smiling_face_with_heart-eyes,Product Quality
Starbucks - SM Lanang,5,coffee,"Cozy atmosphere, relaxing music, and the smell of coffee hits differently the moment you enter.",Ambiance and Atmosphere
Into D' Woods,5,coffee,A quiet and peaceful cafe.,Ambiance and Atmosphere
Green Coffee - Diversion,4,coffee,"Nice Ambience to stay and sip for a coffee while meeting some colleagues , the parking's are very accessible.",Store Operations and Accessibility
Fourth Street Cafe,5,coffee,"The prices are cheap, the coffee is delicious, and they are friendly :)",Price and Value
Purge Coffee Roaster,5,coffee,I also enjoyed their made coffee in the store.,Product Quality
Cafe Basilico,5,coffee,A go-to coffee shop with better coffee than your famous brands.,Product Quality
ZeusX Esports and Cafe,3,coffee,"If you are hoping to swing by for a quick morning caffeine fix on your way to work, this is definitely not the place.That being said, once the coffee finally arrived, it was genuinely excellent.",Facilities and Amenities
Cafe Demitasse,3,coffee,"The only notable exception is the banoffee pie and the coffee, which were quite good.",Product Quality
Seattle's Best Coffee,3,coffee,"Additionally, this is a Self Service Cafe.m, that is why I could tell they aren't short on staff.",Customer Service
Cafe Demitasse,4,coffee,Wi-Fi available but no internet connection when we visited.,Facilities and Amenities
BRGR Alley Café,5,coffee,Thumbs up to the excellent customer service.,Customer Service
Starbucks - Matina IT Park,5,coffee,The staffs are accommodating and attentive.,Customer Service
MOMOYO GMALL BAJADA,5,matcha,Must try and my fave ang matcha bobba.,Product Quality
Cafe Demitasse,3,coffee,Great food but slow service,Product Quality
Fourth Street Cafe,5,coffee,hot_beverage  Location is a bit hidden but that's part of it's charm — you really have to seek it out.,Store Operations and Accessibility
BRGR Alley Café,5,coffee,Just add more villa and wifi access for the customers.,Facilities and Amenities
Floury Cafe,2,matcha,"But the food is very bad for the price, you can go elsewhere if you want good food...",Price and Value
STASH Coffee Co.,5,coffee,My only wish is that they would expand their food menu a bit—more options would be amazing!,Product Quality
The Matcha Tokyo - Azuela High Street,3,matcha,The staff were kind and the service was great.,Customer Service
Annipie,4,coffee,Nice food.,Product Quality
Krispy Kreme Doughnuts® - SM Lanang,5,coffee,Great service and location.,Customer Service
The Matcha Tokyo - Azuela High Street,5,matcha,"The place is clean and has a soft, aesthetic vibe—nothing too fancy, just comfortable and easy to stay in.",Ambiance and Atmosphere
Green Coffee - Diversion,1,coffee,The coffee is good but the staff behavior is very bad.,Customer Service
Craft Coffee & Roastery,5,coffee,You can smell coffee the moment you open their door.,Store Operations and Accessibility
HYGGE COFFEE 2,5,coffee,"The place is so cozy, I really love the food and coffee .",Product Quality
Seattle's Best Coffee,1,coffee,Lots of parking left.,Store Operations and Accessibility
BRGR Alley Café,5,coffee,the staff are very friendly and welcoming.,Customer Service
PICKUP COFFEE - Robinsons Cybergate Davao,5,coffee,"Their drinks are flavorful, well-prepared, and budget-friendly.",Product Quality
Glasshouse Coffee,5,coffee,Very good place to Study... Quite place perfect for a Coffee and a talk...,Product Quality
Mori & Mill,1,coffee,The staff assigned by the door pointed at one of the tables and said it was ours since we were a pax of 8.,Customer Service
Hygge Coffee,4,coffee,We ordered our food and waited more than 30 minutes for the food and free WiFi coupon.,Product Quality
Kafih - Davao,4,coffee,"The place was great, very clean and aesthetic.",Ambiance and Atmosphere
The Forum Cafe,5,coffee,Nice ambiance.,Ambiance and Atmosphere
Coffeecat,4,coffee,Good service.,Customer Service
The Yolk Society,5,coffee,"Great coffee, great food, and a really cozy atmosphere.",Ambiance and Atmosphere
Seattle's Best Coffee,2,coffee,squinting_face_with_tongue  Foods and drinks are basic.,Product Quality
Spilled Coffee,4,matcha,"Small place nicely decorated, Food was super good ,special mention to their lattes..",Product Quality
The Coffee Bar at GMall of Davao,1,coffee,"Very spacious and clean place you can see a big board just on the mane entrance door about wifi but no wifi , every time you go in this place is the same storie ... My tea was serve quickly but without tissue , no sugar and no spoon service is poor here, but the price is big If you want a good place with strong wifi and good service , i can recommand you coffe cat 300 m before gaisano",Price and Value
"The Coffee Bar, Gaisano Mall of Toril",2,coffee,The staff is very rude.,Customer Service
Starbucks - SM City Davao,5,coffee,Always a free coffee experience!,Product Quality
The Bloom Coffee & Start-Up Space,4,coffee,There is more tables in the back which is more peaceful to study and study rooms you can rent.,Facilities and Amenities
JH Garden Cafe and Restaurant Matina,2,coffee,Ask the waiter for a wifi voucher which covers only 2 hours.,Facilities and Amenities
Kotetsu by Wood and Coffee,4,coffee,"The place is not crowded really ideal for studying, as there were people studying when we got there.",Ambiance and Atmosphere
The Crazy Bite Co. Sky Cafe,5,coffee,"Good food, strategic location, and nice ambiance.",Product Quality
Evermore Cafe Davao,4,coffee,Drinks were okay.,Product Quality
JH Garden Cafe and Restaurant Matina,5,coffee,"The food was okay, but the ambience and service really made the experience enjoyable.",Product Quality
Coffee Project Mintal,5,coffee,"Whether you're meeting friends, working remotely, or simply taking a break, the atmosphere of the shop elevates your coffee-drinking experience to new heights.",Product Quality
Annipie @ The Farm,5,coffee,"Finally, high recommendations on their service and food.",Customer Service
RE-Ground Coffee & Cafe,5,coffee,"Walang maraming arte, it's an open space (al fresco) with a big tree, tables and chairs and that's it, pero ang sarap tumambay habang nagkakape while enjoying the fresh air and the beautiful scenery of the farm.",Facilities and Amenities
Kapeweñoz Dacudao,5,coffee,"Their coffee is just as good as what I enjoy in NZ, and that's saying something!",Product Quality
Es.cafe,5,coffee,"Great vibe, the place observes cleanliness, and the staff has a great personality.",Customer Service
JAS Caffeinated,5,coffee,Very accommodating staff!,Customer Service
Starbucks Damosa IT Park Drive-Thru,5,coffee,"Furthermore, this is a convenient drive-thru branch with ample parking spaces.",Store Operations and Accessibility
Fourth Street Cafe,5,coffee,"Pricing is reasonable, considering the view and ambiance.",Ambiance and Atmosphere
KINN & Friends,5,matcha,Customer service 10/10,Customer Service
Yukiss Cafe and KTV,4,coffee,Price is affordable and place is accessible.,Price and Value
PICKUP COFFEE - Davao Finance Center,5,coffee,"Their baristas are very approachable and very friendly  heart_hands  My regards to Jhon dulin, the most handsome barista ever",Customer Service
Coffee Hub,1,coffee,"As for the drinks, it was so hard to choose something to my liking because they have no decaf, no oat milk, no almond milk, their matcha is not pure matcha, their hot chocolate is powdered (not the authentic cocoa).",Product Quality
Kafih - Davao,5,coffee,The wifi is fast and they are generous in giving out wifi vouchers.,Facilities and Amenities
Green Coffee - Diversion,3,coffee,Daghan pag coffee shop na mas okay with the same prices.,Product Quality
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,THEY ARE OPEN 24 HOURS!,Store Operations and Accessibility
Dakong Balay,3,coffee,"Native chicken tinola, chopsuey and steak malasogi.. the food presentation is a 5 star but the taste.. it doesn't match the price.",Price and Value
Cafe Tavera,5,coffee,Cafe Tavares has unique food menu.,Product Quality
Annipie @ The Farm,4,coffee,Close to nature and the food was superb!,Product Quality
Dakong Balay,5,coffee,"I love this place to Dine-in, eventhough it's quiet a distance from the downtown area... Their Food are delicious..",Ambiance and Atmosphere
Paramount Coffee - Twin Palms,4,coffee,"Good food and coffee, good place.",Product Quality
STASH Coffee Co.,5,coffee,They have delicious drinks that suits your taste buds.,Product Quality
Annipie Airport View,5,coffee,Service is accommodating and friendly.,Customer Service
Indahouse Cafe,5,coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,"Good coffee, delicious all-day breakfast (we tried Homemade Tapa), Quesadillas are must try, they are served warm.",Product Quality
"KAOS CAFE - 24 Hours, Jacinto St.",1,coffee,"They heard us getting impatient, one of us went to the counter several times to follow up with the food but they just kept on saying 5 minutes.",Product Quality
Mori & Mill,1,coffee,"I really wanted to enjoy my dining experience here because the restaurant has a nice ambiance and the food is on the pricier side, so I expected good service.",Ambiance and Atmosphere
Coffee Project Mintal,1,coffee,"At first, I thought it was only 225 pesos, but when I checked the receipt, I was shocked by how expensive it was.",Price and Value
Purge Coffee Roaster,5,coffee,"Stepping inside feels like a warm hug, from the friendly baristas, humble owners, and SUPERB coffee and waffles (now with cocktail drinks!).",Customer Service
The Matcha Tokyo - Azuela High Street,1,matcha,Ube Matcha Latte.,Product Quality
olo. Coffee And Concepts,5,coffee,star  star  star  star  star  love the vibe here esp the garden,Ambiance and Atmosphere
Barok Cafe and Resto,5,coffee,"smiling_face_with_heart-eyes  OK_hand  Affordable food, amazing taste, spacious place, and the friendliest staff — that's Barok Café & Resto for you!",Customer Service
Starbucks - GMall of Davao,4,coffee,The restroom.,Facilities and Amenities
Green Coffee - Marfori,5,coffee,Green Coffee Americano is so delicious!!!!!!!!!,Product Quality
BRGR Alley Café,5,coffee,The food is absolutely delicious—every bite was flavorful and freshly prepared.,Product Quality
AtCurbside,5,coffee,Coffee is very good.,Product Quality
Matcha Bar - Marfori,5,matcha,Best Matcha I've tasted so far.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,3,coffee,Liked the vibe it's giving one time we walked pass by the place hence we visited to grab something to eat.,Ambiance and Atmosphere
Kofi Gram Bangkal,5,coffee,"The menu was updated, it's just that the location is near to the traffic lights, so sometimes its difficult to get through the cafe if your coming from the south.",Store Operations and Accessibility
"KAOS CAFE - 24 Hours, Jacinto St.",4,coffee,This is a nice sign of good service.,Customer Service
Cafe Basilico,4,coffee,"While there is a 6% service fee, it feels completely warranted here since the servers are attentive and proactive without being overbearing, ensuring our drinks are always full and the dining flow is seamless.",Product Quality
The Matcha Tokyo - SM Davao,5,matcha,He provides great service and great matcha,Customer Service
"Miss Bridgette,",5,matcha,Great food and drink option.,Product Quality
Starbucks - SM City Davao,2,coffee,Staff are great but too many customers for the floor area.,Customer Service
Kiks Davao,5,coffee,Also they're pet friendly!,Customer Service
Daleachious Cafe - Ecoland Branch,1,coffee,"Otherwise, great location and nice interior atmosphere.",Store Operations and Accessibility
Coffee Hub,5,coffee,Atmosphere is pretty decent.,Ambiance and Atmosphere
Starbucks - Matina IT Park,4,coffee,There was a wide parking space but I needed to walk a few meters to the store.,Store Operations and Accessibility
Black Scoop Cafe Matina,3,coffee,They have free wifi but they only have one power outlet (as per their staffs) available if you want to charge your phone batteries (and you can't bring extensions for safety purposes).,Facilities and Amenities
Cafe Demitasse,4,coffee,Good food and service.,Product Quality
olo. Coffee And Concepts,1,coffee,"I recently visited this coffee shop with my friends, and we were disappointed with how we were treated.",Product Quality
Cafe Demitasse,5,coffee,Food is wonderful specially the cheesy nachos!,Product Quality
Paramount Coffee Crocodile Park Davao,5,coffee,Love the atmosphere.,Ambiance and Atmosphere
Annipie Airport View,4,coffee,"The comfort room is clean, though the parking limited.",Store Operations and Accessibility
Cafe Demitasse,4,coffee,As usual the food is great.,Product Quality
Juice Cubi Roxas Avenue,4,coffee,The place inside (first floor) is quite small but includes very cute and aesthetic designs on the wall.,Ambiance and Atmosphere
8me sweet cakes and coffe shop,5,coffee,The best and sikwate with puto maya Nice place Nice their service,Customer Service
Starbucks,5,coffee,"For coffee lovers looking for a cozy and convenient spot in Davao, Starbucks F. Torres delivers just that.",Product Quality
Kapeweñoz V. Mapa,5,coffee,"No area for dining in, but you could visit their store in Project587, Juna Subd for dining tables.",Facilities and Amenities
Koffiepauze,5,matcha,I love the food here!,Product Quality
Cafe Tavera,4,coffee,"Good food and service, the place is also nice but kinda tight when full pack",Customer Service
Knto Cinco - Puan Branch,5,coffee,Everything — from their Japanese matcha and hojicha to the food and coffee — is just as consistent as Lapu-Lapu.,Product Quality
The Secret Garden Cafe,5,coffee,The orders are often served fast enough even when the space is full.,Facilities and Amenities
Annipie Airport View,5,coffee,"Service water is not a thing here (for sanitary purposes), but you can order some bottled water or bring your own instead.",Customer Service
The Coffee Spot & Lounge,4,coffee,OG coffee shop in calinan.,Product Quality
Fourth Street Cafe,5,coffee,"Instead, we just tried their Spanish Latte and Hot Chocolate.",Product Quality
Don Macchiatos Coffee,5,matcha,Best coffee I ever had?,Product Quality
Café Prelaya by The Joaquins’ Cheesecakes,4,coffee,Has no wifi.,Facilities and Amenities
Purge Coffee Roaster,5,coffee,Good coffee.,Product Quality
PICKUP COFFEE - Gaisano Mall of Davao,2,coffee,"Now, I don't really have a problem with how much the cost was, but rather how your employee, specifically your CASHIER handled the situation.",Customer Service
Humble Table,5,coffee,One of the best curated coffee drinks and matcha in Davao,Product Quality
Cinnabon SM Lanang Davao,2,coffee,"We placed our order right away, but her attitude was far from welcoming.",Customer Service
Coffee By The Way,2,coffee,"The café itself has a great ambiance—cozy, and a nice spot to relax or get some work done.",Facilities and Amenities
Coffee Project Mintal,4,coffee,For productive work too if you can handle the bossa nova playlist.,Facilities and Amenities
Coffee Hub,4,coffee,Coffee was so good,Product Quality
Lot 38 Kape,5,coffee,Love their coffee and really passionate about their coffee.,Product Quality
Brew and Cinnamon Cafe,5,coffee,Prices are also affordable for meals.,Price and Value
Koffiepauze,5,matcha,"Aside from it's great interior design, food is amazing too!",Product Quality
Indahouse Cafe,2,coffee,"The matcha, priced at ₱250–₱295, came in a small cup that wasn't even filled to the top.",Product Quality
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,Super love their cheesecake especially when paired with their coffee.,Product Quality
Hid'n Coffee,5,coffee,The price is so cheap and the location is just chill and easy to find.,Ambiance and Atmosphere
BRGR Alley Café,5,coffee,"The food was amazing and the taste is very delicious, it's fresh, and juicy.",Product Quality
Habitat Coffee - Tulip Branch,4,coffee,"Overall, it's a pleasant place to relax and enjoy a good cup of coffee.",Product Quality
olo. Coffee And Concepts,5,coffee,Cute coffee bar.,Product Quality
Coffee Project Mintal,2,coffee,Mediocre food.,Product Quality
Annipie @ The Farm,5,coffee,A great place to unwind and enjoy the nature away from bustling traffic in Davao City.,Store Operations and Accessibility
BRGR Alley Café,5,coffee,Excellent food and service.,Product Quality
Cafe Julieta,5,coffee,Ample parking space too.,Facilities and Amenities
Whisk Davao Matcha,5,matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam.",Product Quality
Kove,5,coffee,Good quality coffee!,Product Quality
Cafe Demitasse,5,coffee,Great staff.,Customer Service
Aloha Kakou Neighborhood Cafe,4,coffee,Experience a tropical vibe cafe where taste and tranquility meet!,Ambiance and Atmosphere
Annipie - SM Lanang,4,coffee,Cinnamon bun is a perfect pair for unsweetened brewed coffee.,Product Quality
Pedal Cafe Davao,5,coffee,"Whether you're seeking a quiet spot to work or a place to unwind with friends, Pedal Coffee Shop has got you covered.",Ambiance and Atmosphere
444 Coffee,5,coffee,Sea Salt Latte is soooo good!!!,Product Quality
Kapeweñoz V. Mapa,5,coffee,"Coffee is good, just difficult to find a parking spot.",Product Quality
Darkk Coffee Co.,5,coffee,"The warm ambiance and friendly people evoke memories of teenage hangouts, while the expertly crafted offers a comforting taste of the past.",Customer Service
Cinnabon SM Lanang Davao,4,coffee,Cashier seemed a little confused with their menu.,Customer Service
Cafe Demitasse,5,coffee,Good food!,Product Quality
Kafih - Davao,5,coffee,"Good experience, fast wifi internet and very accommodating barista's",Facilities and Amenities
Glasshouse Coffee,3,coffee,"ambiance is ok, tried the coffee Americano, same same.",Ambiance and Atmosphere
KINN & Friends,5,matcha,"Staff is friendly, packaging is nice, quiet atmosphere.",Customer Service
The Matcha Tokyo - Azuela High Street,5,matcha,The matcha tastes so authentic and rich — truly feels like a taste of Japan  smiling_face_with_heart-eyes  Definitely worth a visit for all matcha lovers!,Product Quality
Craft Coffee,5,coffee,"Great FOOD and the BEST COFFEE we've tried in Davao...A must visit place, also a good stop over before heading to Bukidnon.",Product Quality
Glasshouse Coffee,5,coffee,Clean and quiet coffee place that opens early.,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,Food and pastries are so good!,Product Quality
Knto Cinco - Lapu Lapu,5,matcha,"Knto Cinco is one of the best coffee shops in Lapu-Lapu City, Cebu.",Product Quality
Humble Table,5,coffee,their drinks did NOT disappoint!!,Product Quality
Coffeecat,3,coffee,Just dropped all the coffee and desserts on the corner of the table.,Product Quality
Solace - Coffee Club,4,coffee,Price of the food was like the average coffee shop which was okay.,Price and Value
BRGR Alley Café,3,coffee,Service is good though.,Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,The ambiance and food were outstanding.,Ambiance and Atmosphere
Haron's Cafe,4,coffee,It would be better if they were more professional and kept their voices down so guests can fully enjoy the relaxing atmosphere.,Ambiance and Atmosphere
Green Coffee - Marfori,2,coffee,I rate the food 1 star.,Product Quality
PICKUP COFFEE - Aeon Towers Davao,5,coffee,Very good coffee,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"green_heart  Love the packaging and heating instruction, talagang pinag-isipan to offer quality food and service.",Customer Service
BRGR Alley Café,5,coffee,"The staff was friendly and the service was quick, even during the dinner rush.",Customer Service
BRGR Alley Café,3,coffee,Crew members were friendly abd attentive.,Customer Service
LASA DAVAO,5,coffee,Really good food.,Product Quality
The Matcha Tokyo - SM Davao,5,matcha,very good matcha and nice interior,Product Quality
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,The hibiscus espresso tonic was so good  smiling_face_with_hearts  ambiance was windy too,Ambiance and Atmosphere
Glasshouse Coffee,4,coffee,Looking for a quiet coffee shop in the heart of davao city?,Product Quality
Seattle's Best Coffee,5,coffee,Beautiful ambiance and very delicious coffee plus accomodating crew white_heart  sparkles,Product Quality
Cafe Demitasse,5,coffee,Staff are super nice.,Customer Service
Fairs cafe,5,coffee,Best coffee I had for a long time!,Product Quality
BRGR Alley Café,1,coffee,"For that price point, it would have been more reasonable if they included at least some fries and a drink, even just iced tea.",Price and Value
Fourth Street Cafe,5,coffee,The coffee is perfect for studying.,Product Quality
Green Coffee - Marfori,2,coffee,"Poor customer service, not all aircon was on.",Facilities and Amenities
Just Coffee & Sip,5,coffee,11/10 JCS Spanish Latte  ON!_arrow  TOP_arrow  smiling_face_with_hearts,Product Quality
Green Coffee - Diversion,1,coffee,"They post items in menu that they dont have..no cold coffee,no pasta.. Not recommended.",Product Quality
The Beehive Cafe Davao,1,coffee,"the honey glazed chicken was delicious we liked it but the spicy pork cutlet was not a cutlet at all, it doesn't looks like a cutlet and doesn't taste like a pork cutlet.",Product Quality
TALA Cafe,5,coffee,"Overall, great drinks, good vibe, and strong cultural identity.",Ambiance and Atmosphere
Annipie Roxas,5,coffee,Love the interior and ambiance.,Ambiance and Atmosphere
Kotetsu by Wood and Coffee,3,coffee,I'd have to go back and taste the other beverages on their menu.,Product Quality
Whisk Davao Matcha,5,matcha,Best Iced White Chocolate Matcha!,Product Quality
Starbucks - Matina IT Park,5,coffee,Very accomodating staff and friendly.. plus the looks (pretty and handsome ),Customer Service
Whisk It Good Matcha,5,matcha,Delicious food; accommodating staffs; and the ambiance is homey.,Ambiance and Atmosphere
Espresso Lab Cafe Davao,5,coffee,food is pricey but you can stay as long as you want.,Product Quality
Barok Cafe and Resto,4,coffee,But their service is good and the servers are very friendly and accommodating.,Customer Service
