place_name,shop_type,clean_review
The Matcha Tokyo - SM Davao,matcha,"Staff here is friendly. Their matcha products are good, not too sweet and not too bitter. Big fan of their soft serve."
Koffiepauze,matcha,Fronting a school makes it both a (+) plus and a (-) minus…..IDEAL TIME is after the students have been scooted inside and of course after school hours…..The hushed mood of the cafe at this time is just absolute for a starting meal of the …
The Matcha Tokyo - Azuela High Street,matcha,Authentic taste of matcha!  drooling_face  smiling_face_with_heart-eyes  …
&Matcha - Three Yards,matcha,"It was kind of hard to find since pasulod sya. Had a hard time parking since may bazaar during that time. The place was quite packed, we waited 20 mins to be seated. More on the pricier side but drinks were okay. Self service cafe."
KISOM Atelier,matcha,100/100 Thank you pl sa matcha and service ! Must try
Kafih - Davao,coffee,"the food is nice and the staffs are very approachable and friendly, worth the price yung food"
Matcha Ureshi Bar,matcha,I always order their vol 2 as my pick me upper. So good  smiling_face_with_hearts  …
Matcha Ureshi Bar,matcha,earl grey was smooth and balanced
Barok Cafe and Resto,coffee,"I went to Barok Café & Resto and the ambiance is amazing! They even have a co-working space, perfect for students and VAs — truly the best place to study and work.  fork_and_knife  The food is very affordable yet super delicious — definitely worth the price!  handshake  The service crew are so hospitable and friendly, it feels like you're just hanging out with your own friends while waiting for your order. I also visited their Magallanes branch, and I was surprised because no matter which branch you go to, the staff are consistently very accommodating. Big salute to Barok Café & Resto!"
Craft Coffee,coffee,Recommend if you plan to stay around the area lng
Matcha Ureshi Bar,matcha,We'll come back again hundred_points ! …
Matcha Bar - Marfori,matcha,5 stars. One of the best matcha spot here in Davao. Small space but great quality matcha and pastries. Great customer service too. Best time to visit would be noon to night. Great view of the park across the street.
Koffiepauze,matcha,The food is okay. The service is bad. Expensive... not really worth the money I give.
The Matcha Tokyo - SM Davao,matcha,The place is so amazing and the staffs are friendly and great!
Kopi lah Roti,coffee,Nice alternative to the usual starbucks. Usually a quiet place where you can find college students mostly those taking medical courses studying. Also a destination for families looking for good Malay coffee preparations and roti bread. Offers other food choices.
Beholden Coffee Experience - CM Recto,coffee,"First time dining in Beholden. I already like their matcha latte when I tried it sa Coastal branch nila. But this new drink kay lami kaayo. I substituted regular milk to coconut milk for this Hot Latte, lami kaayo. Must try. Iba ang creaminess and of course, non dairy siya so ok kaayo for those with lactose intolerance."
The Matcha Tokyo - SM Davao,matcha,got the iced cafe latte and it was good!
Baristro DVO,matcha,… here recently. The staff was accommodating and very friendly. I forgot what cheesecake I got it was so good. The matcha is kinda more on the milk side but I still enjoyed it nevertheless. The atmosphere of the place is great for …
The Bloom Coffee & Start-Up Space,coffee,A coffee shop I enjoyed and will recommend. Delicious coffee and satisfying meal. Tama lng din ang price.
PICKUP COFFEE - Davao Finance Center,coffee,"I recently visited Pick Up Coffee at the Finance Center. During my visit, the branch was managed by just one staff member, and he did a great job handling everything efficiently. The place is air-conditioned, clean, and comfortable—perfect for a quick coffee break. The coffee is affordable and tastes good. While it's not a premium coffee experience, it definitely delivers good value for the price. I ordered a Spanish Latte paired with a croissant, and they went well together. The staff was friendly and accommodating, which made the visit even more pleasant. Overall, it's a good spot if you're looking for an affordable coffee fix in a clean and convenient location. Recommended for students, office workers, and anyone who enjoys a simple coffee break."
Café de Vivré,coffee,"Ordered the Pour Over Ethiopia (Niguse Gemeda) and not exaggerating, it was one of the best cups I have ever had! The barista was very courteous and took the time to answer all my questions. I also love that this shop strayed from the usual Brazil beans, kasi to be honest, nakakaumay na rin minsan. Their Americano was really good too. My only lowlight would be that the place can be a bit tricky to find, especially if you are not from Davao. But overall, I will really miss this spot!"
The Matcha Tokyo - SM Davao,matcha,matcha frozen float is superb!!
Kafih - Davao,coffee,"I have visited a lot of cafes, but kafih is still my go-to spot for studying. It has unlimited wifi, is open 24/7, and is halal, which is great for my non-pork friends. The food and drinks are affordable and delicious, and the service is really excellent (super accommodating sila and mabait— hi ate and hi kuya!). plus, THE CATS! I sound like I am a paid promoter, but honestly, I really love Kafih. I think I have brought almost every friend I know here HAHAHA. you should genuinely try it!!!"
Out of Boredom,matcha,Greaaaat black sesame matcha! A dream
Starbucks - SM City Davao,coffee,I only visit this cafe if CBTL is not around in the place.
Cafe Demitasse,coffee,"After a hefty lunch, we stopped by and had some hot beverage. Tried their banoffee pie - not so sweet (pasado sa Tita vibe), cafe mocha, cappuccino. Coffeee were decent, nice interior, excellent service by staff- special mention to JB who was very attentive and elevated the experience for us!"
The Crazy Bite Co. Sky Cafe,coffee,MY OWN EXPERIENCE WHEN WE DINE IN WITH MY FRIENDS IS THEIR FOOD IS DELICIOUS ESPECIALLY THEIR BURGERS. SUPER KIND DIN NG MGA CREW NILA. CAN'T WAIT TO VISIT AGAIN  smiling_face_with_hearts  black_heart  yellow_heart 
Hygge Coffee,coffee,The staff clearly needs more training. Service was a bit unorganized and communication could be improved. Mali2 ang order. Quality of the food is mid.
The Crazy Bite Co. Sky Cafe,coffee,"Located on one of the oldest streets in Dvo, I discovered this establishment through the Davao Food Guide page, which did not disappoint btw, lami ilang beef burgers plus pts ang stunning Davao-Samal view. Visit na po kayo."
Whisk Davao Matcha,matcha,a great place to read and study — calm and comfortable. plus the staff are vv accommodating (Hello Ms. Angel  sparkling_heart ) definitely a place i'd love to keep coming back to. …
Wild Zebra Coffee,coffee,"Love their spanish latte and their pastries! Place is also very tidy and chill, they offer unli wifi here which is perfect place for students like me to stay at."
Aloha Kakou Neighborhood Cafe,coffee,"The nook where this seemly cafe is nestled has substantial parking for the whole building. Adore the peace and quiet. First visit —- the crabfat aglio olio needs a little boost... Iced cucumber tasted just right. Courteous but understaffed personnel. Need to ask for utensils and water….Only a visible lone person working the counter, drinks prep, and serving….Second trip — dark mocha latte was perfect (not surprisingly sweet)…Tuna melt sandwich and kani wrap salad was nicely plated but pricey for its small size. Left full….Surely would love to sample other dishes soon….."
Dunkin' Donuts- C. P. Garcia Highway,coffee,Didn't let me buy because they don't accept card payment.
Green Coffee - Marfori,coffee,Even though they off the aircon they should open the ceiling fans.
Matcha Ureshi Bar,matcha,"i love their matcha, super gooddd!!"
The Coffee Bar at GMall of Davao,coffee,Very enegertic and attentive si ate Glena! The best!
BRGR Alley Café,coffee,"Very yummy and well-prepared. Nabusog gyud mi, thank you kaayo! We also appreciate the warm welcome and accommodating staff. Great experience overall!  smiling_face_with_smiling_eyes  sparkles "
Starbucks,coffee,"Torres Starbucks is cozy.. not too much people , well , the time we went , it was ..perfect for a quick hot one  red_heart  thumbs_up  Christmas_tree  …"
Kanoffee Toril,coffee,"Kanoffee Toril is a hidden gem that satisfies your coffee cravings with its excellent Café Americano and iced coffee options. Pair that with their mouthwatering chocolate chip and red velvet cookies (yummy kaayo), and you're in for a treat. However, due to its proximity to a gas station and the highway, the noise levels can be distracting, making takeout the preferred option for a more tranquil experience, but the scenic view adjacent to the café adds a touch of natural beauty to the experience."
Thirty Third Café,coffee,There's so much coffee shops already in town but some really tastes different. This coffee shop will surely be part of the list.
Habitat Coffee - Tionko Branch,coffee,"Food is decent, but their mashed potatoes is not well seasoned, a bit bland siya for me. The coffee & matcha are good, though. The place is relaxing & not crowded, since we went on a weekday. The downside lang is that they only accept GCash-to-GCash transactions and don't offer other cashless payment options."
Matcha Ureshi Bar,matcha,"Ordered the Earl Grey Matcha, and it definitely didn't disappoint. The umami depth and subtle nuttiness were beautifully emphasized, while its smooth creaminess elevated the drink into a well-balanced and indulgent experience. Definitely must try!"
Floury Cafe,matcha,"We went there to celebrate my daughter's birthday. Generous food serving. My family loves the Steak Rice and Kare-kare. Very accommodating din ang mga staff. Though the cafe was full house that time, but they still able to serve as well."
Matcha Ureshi Bar,matcha,Best matcha in Davao 100/10!!!
&Matcha - Three Yards,matcha,"the staff r so kind!! (nakabuak kami guys :,<) will be back to try more  smiling_face_with_hearts "
Paramount Coffee Crocodile Park Davao,coffee,One of the best coffee shop in Davao. Legit  hundred_points  Fave drink Iced Spanish latte sub oat and for the food Triple Chocolate Revel Bar. Tried their cake (forgot the name) yummy din naman. We went there recently (March 2) I hope ibalik nila yung old Triple Chocolate Revel Bar na taste huhu yummy naman yung ngayon pero mas yummy yung dati..
Dunkin' - Bago Aplaya,coffee,"So every month we buy a box or bucket of munchkins. And since my husband became disabled we have a PWD id that we show and get discounts. So from January to current we use the id and get discounts. Every now and then I bring or take my husband with me just so he can get out and see the outside. Unfortunately recently DunkinDonut has this policy that the owner of the ID should be present. And it's not like it's easy for someone like me 5'2 to always or at least monthly take my husband with me who is 5'11 and weighing over 63lbs. Staff would say that it is a company policy that PWD must be present in order the discount to be applied. Eh pano nalang palang and hindi talaga nakakalakad at walang assistance. I am not saying that tanggalin nila ang policy all I am saying is that if you second guess the validity of the id you can ask for an authorization letter, a gov't id of the pwd card owner, picture or medical notes if you like. But to demand us to always bring our patient with us everytime we make a purchase is just simplying disappointing and exhausting. Good Day."
The Matcha Tokyo - Azuela High Street,matcha,"Was circling Azuela grounds but couldn't find the store. Not that visible from the road. Vehicles parked near one sidewalk gave me a hint so I followed suit. And there it was! Only few people before noon, two kinds of pastries at the counter, and a lot of unavailable items as well. Rates ain't cheap. Settled for takeaway. Tastewise, I can't quite pinpoint what's missing (with my drinks). I really liked the cookie with its sealed packaging. Having awarded already (in my mind) three (3) local places to get matcha indulgences and here comes this, well… A few more visits and it might change. There are interesting items on the menu that are not that prevalent in the city. 'Tis just odd they don't have GCash knowing the usual excuse of cafés not provided PCF or loose change by management….By the way, the designated parking lot was later pointed to by a roving guard on wheels which was farther down the road… Still keen for another round soon…"
Evermore Cafe Davao,coffee,"Service time: 2/5 2 hours for just coffee and pastries. Service: 2/5 Rude staff, he mistakenly interchange our number with the other table. He did not even say a word, ""nagdabog"", kinuha lang ang number sa table, and alis. However, some staffs are friendly naman. Drinks: Tried their coffee, not good. Tried their matcha, I did not even taste the matcha and was overpowered by sweetness and milk. Pastries: 3/5 Freshly baked but nothing special. Environment: 2/5 Noisy. Poor internet connection."
Coffee-Fied Cafe,coffee,10/10!!! Our little Sam loves her pampering sesh!! The staff is amazing!!! Most highly recommend!!!
The Matcha Tokyo - SM Davao,matcha,their staff was so friendly and accommodating and I liked their matcha ice cream!  green_heart  heart_hands_light_skin_tone  …
Daleachious Cafe - Lanang Branch,matcha,ALL GOODS AND AESTHETIC VIBES
The Matcha Tokyo - SM Davao,matcha,loved the matcha here  heart_hands_light_skin_tone  teacup_without_handle  …
Daleachious Cafe - Lanang Branch,matcha,Chicken alaking is so bland. Taste like flour. And sana just dont lie and tell me that the croissant are fresh and made just this morning.
Whisk It Good Matcha,matcha,"glad they have their place now! very cozy ang place and relaxing. lami ang drinks, especially the hojicha! i love that they offer if ganahan mo mag dagdag sweetener 5ml or 10 ml"
Matcha Bar - Marfori,matcha,100/10!!!  green_heart  teacup_without_handle  face_savoring_food  …
Matcha Ureshi Bar,matcha,Their matcha is so good!! And I love the cute corner by the mirror.
Matcha Bar - Marfori,matcha,i messaged them on fb re: my complaint (refer to sc) and followed up multiple times to at least respond and acknowledge lang kahit wala ng refund pero panay lang sila seen as if they're not concerned. i've tried and been to a lot of matcha places but this one is not it. not worth the hype
Cafe Tavera,coffee,"first time here.. walk-in couple date. friendly and professional staff. lami kaayo mga food, buti na lang masarap legit kasi medyo pricey for us common people. but pag nakaipon na, wxxill be back for special occasion and seafood cravings. some guests are too noisy but that's ok, we focus on our delicious food."
"Miss Bridgette,",matcha,Cozy placement
Matcha Ureshi Bar,matcha,very nice and yummy!!!
Cafe Tavera,coffee,Good food
The Secret Garden Cafe,coffee,"Definitely one of the best cafés I love going to  white_heart  Must-try ang matcha and Alfredo pasta! It's one of my go-to chill places. Sana lang ma-extend nila yung space since super small and walang parking—but overall, excellent talaga."
Matcha Ureshi Bar,matcha,This is nice. Vanilla Seasalt works good.
Starbucks - SM City Davao,coffee,"Good cs, shout out to thirdie! :) very accomodating"
Matcha Ureshi Bar,matcha,so cute !! my fave is their vanilla sea salt natcha hehe growing_heart 
"KAOS CAFE - 24 Hours, Jacinto St.",coffee,"The coffee was too sweet for my liking and the carbonara was okay (kinda expected more?) Unfortunately, I had a hard time connecting to their internet ans it's not so fast din pero okay na if you dont need to download videos. I love the paintings and how artsy the place is. Sadly, medj maingay ang place or the people who visited it for my liking."
The Secret Garden Cafe,coffee,Food and coffee is really great and would give a 9/10. Service is 10/10. I recommend their waffles 100%. Wish they would open earlier especially on the weekends.
Whisk Davao Matcha,matcha,"Everything is magical along with the matcha, the staff especially russel, sam and aeron. Kudos to you guys and thanks for everything! More power to you Whisk!"
The Matcha Tokyo - SM Davao,matcha,I like the ambience of the place
KISOM Atelier,matcha,"Have been a regular here since they opened, very convenient spot and they open early !! They have a wide variety of teas which I'd say is pretty unique sa coffee shop/ cafe scene sa davao, and the staff is super friendly. Baristas I've made friends with, sila Jan, Thomas and Oliver always bright and engaging, nag eengage in conversation, willing to answer questions about sa products nila and the process, and very knowledgeable about their menu. The prices for the matcha have gone up a little since I first started coming here, which is valid naman since they use quality ingredients talaga, but it takes away from the pagka student-friendly aspect. Pinaka worth it for me are the pastries. Priced well and tastes really good. I prefer coming in after lunch or early morning habang wala pang tao."
Matcha Bar - Marfori,matcha,"Matcha tasted good, staff accommodates well, good for beginners whose looking for what type of matcha to try. ALSO HAS HOJICHA"
The Matcha Tokyo - Azuela High Street,matcha,Good and quality matcha and with food now
Whisk It Good Matcha,matcha,Very accommodating ng owners and very approachable! love the food and drinks especially Pop the mastermind matchaaaaaa!
MYLK Cafe,matcha,guilt-free delicious snacks
The Matcha Tokyo - Azuela High Street,matcha," round_pushpin  The Matcha Tokyo @ Azuela Cove  check_mark_button  A must-visit spot for matcha lovers  check_mark_button  High-quality matcha taste  check_mark_button  Matcha drinks are smooth and creamy, no bitter aftertaste  sparkling_heart  Iced Matcha Warabi Latte - P280  sparkling_heart  Limited Edition Matcha Mint Chocolate …"
Daleachious Cafe - Lanang Branch,matcha,so slow pls the orders pls pls pls just for 2 rice meals
KOFI GRAM-BAJADA,coffee,"The places looks great, the coffee tastes fine and is priced well! Lot of food options also but just a bit pricey. I had a chicken rice meal and I liked it. It feels modern, clean, and comfy. They have a modern automatic toilet bowl HAHA Great cafe to tambay and chika, if you don't a bit of noise. At non-peak hours, it can be quiet aside from the music from the speaker. Good seating and number of available seats are offered. Sadly, the wifi can be hit or miss and limited to 1hr only per voucher. Decent enough for coworking!"
KOHI,coffee,"Pancake - opted for orignal one but meh for me. Not served hot and taste needs improvement. Matcha - tried both ceremonial and culinary grade. They have good drinks here, small serving nga lang for its price. Location - good, people cant talk loud here. Neighborhood vibes."
Whisk Davao Matcha,matcha,"The best White Chocolate Matcha  check_mark_button  Friendly staff. Thank you, Angel!"
BRGR Alley Café,coffee,"The ambiance was very nice and very ang hangin. The staff were very friendly, and we were satisfied with the customer service. The food was delicious so as the coffee. Highly Recommended. 1000000/10 - tangina ang sarap dito"
Kopi lah Roti,coffee,Taste different
The Matcha Tokyo - Azuela High Street,matcha,The best matcha!
The Secret Garden Cafe,coffee,"It's tiny, but its really cozy. They recommend you to get a reservation and I understand why. Seats can get full quick. Food serving was very, very generous. Food is good naman pero we found ourselves taking a few bites because it can be very overwhelming on its own. Mauumay ka.  pensive_face  pero ewan ko rin ah, we didn't get the first choices we wanted kasi unavailable eh. I think kaya pa naman bigyan ng chance  smiling_face_with_open_hands  Drinks on the otherhand - really really good! One thing lang when it rains, tumutulo. So maybe that's something they should look into since its already rainy season.  call_me_hand "
Daleachious Cafe - Lanang Branch,matcha,Their coffee is serve in flimsy paper cup even for dine in. Not much of the vibe as featured
Binnamon Cafe,matcha,Best Matcha in town  hundred_points  hundred_points  hundred_points  hundred_points 
PICKUP COFFEE - Oroderm City,coffee,"Super Lami, Affordable, Friendly vibes, Accomodating Staff"
Kohi Mame,matcha,Cutsey :)
Starbucks - Abreeza Mall,coffee,Early morning calmness
Out of Boredom,matcha,BEST STRAWBERRY MATCHA IN DAVAO CITY! No wonder why people won't stop raving about this place  clapping_hands_light_skin_tone  …
Kove,coffee,"Been here twice and always order their Café Con Leche (sub oat). Still on the hunt for the best Spanish Latte in DC though—this one is good, but not quite there yet. also Tried their Dubai Chewy Cookie too. texture is good (super chewy, just the right sweetness), but the pistachio flavor was kinda missing. Price-wise… not that worth it.  victory_hand_medium-light_skin_tone "
Green Coffee - Marfori,coffee,Awesome  smiling_face_with_smiling_eyes  …
Whisk Davao Matcha,matcha,First time visiting and I really love it!! Love the ambiance and their staff here. One of the matcha shop here in davao that serves pure and unique matcha flavor combinations.  beating_heart  beating_heart  Must visit! …
Whisk It Good Matcha,matcha,My favourite of all time!  heart_hands_light_skin_tone  teacup_without_handle  Matcharistas will help you choose based on your preferences. Luv it!  OK_hand_light_skin_tone  …
WORK CO COWORKING MATINA BRANCH,coffee,"thank u poooo, very nice to study and accommodating rin ang assistance ni ate divinee, will go again hereee"
MYLK Cafe,matcha,Excellent grilled cheese sandwiches here. Not too greasy. An adequate amount of tasty white vegan cheese. Comes with a few crunchy ruffles potato chips. Hits the spot! The owner also owns 'The Vegan Dinosaur' next door too which has an …
Whisk Davao Matcha,matcha,Just want to share how accommodating their staffs are. Russell and Sam. Matcha latte taste like one of boredoms matcha powder actually. If you're from south I'll recommend this place since medyo malayo ang location ng boredom. Will def go back.
Blugré Coffee,coffee,"As of today, closed for renovation."
STASH Coffee Co.,coffee,Enjoyed my lunch here. Very friendly staff. I passed it walking but noticed quickly it was on 2nd floor
Paramount Coffee Crocodile Park Davao,coffee,Spacious and airy ang ambiance sa place. You can sit outside. And enjoy the night breeze of crocodile park. Best if night time mag visit but they close at around 10pm. There's also eatery beside it so pwede ra kaayo mag kaon sag meal then coffee afterwards. We got matcha latter which is not too sweet and hibiscus tea. Refreshing after meal al fresco style. They have plenty of parking spaces as well.
Cafè Ficus,coffee,"Me and my friends visited this cafe for the first time and very satisfied kaayo mi sa ilang food and drinks, especially the Lasagna — superb gyud, lami kaayo!  smiling_face  The staff were also very accommodating and friendly. Worth the visit!  sparkles "
The Crazy Bite Co. Sky Cafe,coffee,"nice ambiance, i love the energy of their crews, affordable and delicious foods."
Krispy Kreme,coffee,has several branches...
Koffiepauze,matcha,It seems like it's forbidden to be polite.
Starbucks - SM City Davao,coffee,Smell the flavor of your ordered coffee with matching dessert.  smiling_face_with_heart-eyes  smiling_face_with_heart-eyes  smiling_face_with_heart-eyes  …
Paramount Coffee - Twin Palms,coffee,Good food & ambiance!  black_heart 
Solace - Coffee Club,coffee,"The place is suitable for focused work if you dine inside the cafe. The outside however is too noisy it has a lot of motorcycle sound and when I was there, there were people singing Karaoke but if that doesn't bother you, the cafe is really good place to hang out, enjoy coffee, and chill. Two drinks I've ordered, blueberry soda which tastes really good and refreshing. If they consider to lessen the amount of blueberry syrup, it would ve perfect. The second one is salted caramel latte - this one I was surprised that the taste was really good and the price is just perfect. I am inviting my friends over to try soon."
Matcha Bar - Marfori,matcha,I had a challenge looking for a cafe/store that serves a legit matcha and I found Matcha Bar as my go to matcha bar after yoga  smiling_face_with_hearts  …
Cafe Demitasse,coffee,They offer affordable but delicious sweets and desserts
Fiend Coffee Club,coffee,"Drinks are on the sweeter side and the ambiance is nice. But the staff and baristas at the counter aren't very friendly or welcoming. Been there couple of times but they always seemed uninterested and not very accommodating. One time, they were busy talking to each other and forgot to call me when my drink was ready. Please improve your customer service."
Matcha Ureshi Bar,matcha,"Good matcha, service and ambience"
The Limestone Brew,coffee,"I recommend this place before you explore the island. We went here after the ferry ride. Had some refreshments and okay naman yung lasa. I ordered baby back ribs and chocolate drink. The interiors are relaxing and welcoming for tourists. They have mga souvenirs. I remember meron sila raffle entries this December lang, I got 5. Not sure with the certain amount ng meals to qualify but ticket for Taylor Swift's concert ang prize."
Tomo Kopi - Emilio Jacinto Street,coffee,"Recommended ang spanish latte, matcha latte, and creme drinks <3 no cap bro frfr"
Whisk It Good Matcha,matcha,"My friends and I visited at night, and the place is a laidback spot for good conversation. I think I ordered Just Right (unsweetened) , and true to its name, it's smooth and slightly bitter, just how I like it. The owners explained the menu …"
Out of Boredom,matcha,"imo, they might have the best mocha in davao. they definitely have good coffee beans! production may take some time and their place is quite small (they're expanding soon)"
Purge Coffee Roaster,coffee,Best coffee and best service in Davao from my point of view. I don't mind having to drive 30 min to treat myself with really good coffee :-)
Slate Coffee + Deli,coffee,"Tucked inside Top Secret Auto Detailing Shop, this place has great coffee! Beans were fresh and milk was steamed to perfection (not too hot). Plant-based milk substitute available, and i love that their matcha and horchata are already oat-based. Yum also the sandwiches! Well seasoned and juicy yung chicken. Must try: Dirty Horchata and Grilled Cheese (no pic kasi naubos kaagad)  red_heart   fire "
The Bloom Coffee & Start-Up Space,coffee,Had a great breakfast here. Affordable and delicious. Loved that they open as early as 6AM and closes as late as 12MN.
"10,000 Reasons Cafe",coffee,I Feel the peace and pwede maka muni muni :)
Lot 38 Kape,coffee,I super love the spanish latte. Im very fond of drinking coffee talaga so Im very particular sa taste ng kape but when I tried the spanish latte it was very tasty. Very satisfied
Koffiepauze,matcha,Not unli wifi
LASA DAVAO,coffee,"Excellent service! Great food, amazing staff!!! Will always go back! Salamat kaayo"
The Coffee Bar at GMall of Davao,coffee,the service is good. staff are accommodating
Bramble,matcha,"Wow.. I didn't expect that. I love eggs benedict and it's my all time favorites. And none even in the us satisfied me (except when we did it ourselves in the kitchen when I was in culinary school). That was beyond perfect! (Poached egg was perfect too) Although hollandaise need a little more zest to it but it was good even with the smoked salmon, perfect balance. None overpowered the other. The smoked bacon and smoked salmon complimented each other. That was one good breakfast! And pretty heavy too. Usually, I order 2 eggs benny but I was satisfied with one and a matcha latte. They have other dairy alternatives too for those who are lactose intolerant. Will come again. 4 star cause of mosquito inside the restaurant. They love me for some reason. Otherwise, good experience."
Isolate Coffee Shop,coffee,"Super love the coffee, and the vibe! I love how accessible it is kay centro ra sa Calinan. Nice sad ang customer service  hundred_points  would recommend!"
Whisk Davao Matcha,matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam."
Matcha In-House,matcha,"best matcha ever,,, oatly pa nga default milk!!! and premium matcha so far the best mura pajudddd"
"KAOS CAFE - 24 Hours, Jacinto St.",coffee,ang sarap sarap
Lot 38 Kape,coffee,We'll be back soon white_heart 
Beyond Beans & Co,matcha,Loving the drinks! First tasted during their bazaar set-up at SM Lanang and I loved how their crafted their drinks with the price. Sulit ang drinks. Tried the dirty matcha and matcha strawberry and the oat barley is really giving! Loving …
Matcha Ureshi Bar,matcha,My go to matcha!
Chatime - SM Ecoland Davao,coffee,Their tea's are delicious. The proof of that is the long waiting line. But you can always roam around sm while waiting for your order coz you have a gadget that will remind you that it's ready to pickup. The price range is arising around Php90-110. Depending on you add-ons. Their shop is just infront of PetCo right after the SM entrance. They give senior citizen/pwd discounts too. The regular price of large pearl milktea was Php105- but you'll just pay Php75- only if you are a senior citizen or pwd.
Café de Vivré,coffee,"Service was so good, super worth it ang food and drinks. The atmosphere was so relaxing. Cute baristas!"
The Secret Garden Cafe,coffee,"Place is very instagrammable! IG Pepz will definitely love this place. Just an honest opinion, I tried their Caramel Macchiato which by the way my favorite, less coffee and more milk which I think has a low quality, sa bisaya pa lasaw ang gatas. Would I go back? I'm a bit skeptical kay first impression lasts na sa akoa, but if naay chance why not? Pero gidayo pa naku ang cafe coz of TikTok hype and I was a bit disappointed pero let's give another chance and maybe try a different one. Oh by the way, the brownie was too sugary. Next time I'll go for pasta nalang  grinning_face_with_big_eyes "
The Crazy Bite Co. Sky Cafe,coffee,The best gyud dri guys smiling_face_with_heart-eyes  face_blowing_a_kiss 
Whisk Davao Matcha,matcha,Love their matcha!  green_heart 
The Matcha Tokyo - SM Davao,matcha,I like the ambience of the place
Inherent Coffee,coffee,Recommendable ang shop and also the place  relieved_face  …
Green Coffee - Diversion,coffee,"Very spacious. And I love how it's open during the wee hours of the day. Since they just opened, don't expect much as there's no internet yet. So better bring your own data. I love how there's center isle of plants inside with a lanay where you can see more greens. True to it's name. And more parking at the back. Looking forward to visiting again soon."
Whisk Davao Matcha,matcha,Matchalicious!! Thanks Ms. Angel for letting me whisk my own matcha drink.  grinning_face_with_big_eyes 
